variant_id;product_id;color_id;color_label;component_order;source_color_raw
KD-PD-114384__v001;KD-PD-114384;clr_2818a16c64;Белый;1;Белый
KD-PD-114385__v001;KD-PD-114385;clr_2818a16c64;Белый;1;Белый
KD-PD-10288__v001;KD-PD-10288;clr_2818a16c64;Белый;1;Белый
KD-PD-10288__v002;KD-PD-10288;clr_2818a16c64;Белый;1;Белый
KD-PD-11020__v001;KD-PD-11020;clr_db1adb0a92;Желтый;1;Желтый
KD-PD-11020__v002;KD-PD-11020;clr_398bc3d0f7;Синий;1;Синий
KD-PD-10414__v001;KD-PD-10414;clr_2818a16c64;Белый;1;Белый
KD-PD-10932__v001;KD-PD-10932;clr_2818a16c64;Белый;1;Белый
KD-PD-10587__v001;KD-PD-10587;clr_2818a16c64;Белый;1;Белый
KD-PD-10567__v001;KD-PD-10567;clr_2818a16c64;Белый;1;Белый
KD-PD-10450__v001;KD-PD-10450;clr_2818a16c64;Белый;1;Белый
KD-PD-10450__v002;KD-PD-10450;clr_2818a16c64;Белый;1;Белый
KD-PD-10400__v001;KD-PD-10400;clr_8717c2ffa9;Красный;1;Красный
KD-PD-10930__v001;KD-PD-10930;clr_8717c2ffa9;Красный;1;Красный
KD-PD-8985__v001;KD-PD-8985;clr_2818a16c64;Белый;1;Белый
KD-PD-8985__v002;KD-PD-8985;clr_2818a16c64;Белый;1;Белый
KD-PD-8982__v001;KD-PD-8982;clr_2818a16c64;Белый;1;Белый
KD-PD-8982__v002;KD-PD-8982;clr_2818a16c64;Белый;1;Белый
KD-PD-8982__v003;KD-PD-8982;clr_2372492028;Зеленый;1;Зеленый
KD-PD-8982__v004;KD-PD-8982;clr_2372492028;Зеленый;1;Зеленый
KD-PD-11033__v001;KD-PD-11033;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-11034__v001;KD-PD-11034;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-10841__v001;KD-PD-10841;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-10841__v002;KD-PD-10841;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10841__v003;KD-PD-10841;clr_78e4123512;Экрю;1;Экрю
KD-PD-10786__v001;KD-PD-10786;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-10786__v002;KD-PD-10786;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10786__v003;KD-PD-10786;clr_78e4123512;Экрю;1;экрю
KD-PD-7947__v001;KD-PD-7947;clr_2818a16c64;Белый;1;Белый
KD-PD-8312__v001;KD-PD-8312;clr_2818a16c64;Белый;1;Белый
KD-PD-7941__v001;KD-PD-7941;clr_2818a16c64;Белый;1;Белый
KD-PD-7942__v001;KD-PD-7942;clr_2818a16c64;Белый;1;Белый
KD-PD-7942__v002;KD-PD-7942;clr_2818a16c64;Белый;1;Белый
KD-PD-7242__v001;KD-PD-7242;clr_2818a16c64;Белый;1;Белый
KD-PD-7938__v001;KD-PD-7938;clr_2818a16c64;Белый;1;Белый
KD-PD-8256__v001;KD-PD-8256;clr_2818a16c64;Белый;1;Белый
KD-PD-7939__v001;KD-PD-7939;clr_2818a16c64;Белый;1;Белый
KD-PD-7944__v001;KD-PD-7944;clr_2818a16c64;Белый;1;Белый
KD-PD-7944__v002;KD-PD-7944;clr_2818a16c64;Белый;1;Белый
KD-PD-7944__v003;KD-PD-7944;clr_2818a16c64;Белый;1;Белый
KD-PD-7940__v001;KD-PD-7940;clr_2818a16c64;Белый;1;Белый
KD-PD-7937__v001;KD-PD-7937;clr_2818a16c64;Белый;1;Белый
KD-PD-9713__v001;KD-PD-9713;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-9718__v001;KD-PD-9718;clr_d74fedd1fa;Черный;1;черный
KD-PD-9718__v002;KD-PD-9718;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-8768__v001;KD-PD-8768;clr_d74fedd1fa;Черный;1;Черный
KD-PD-8768__v002;KD-PD-8768;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-8770__v001;KD-PD-8770;clr_d74fedd1fa;Черный;1;черный
KD-PD-8770__v002;KD-PD-8770;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-8765__v001;KD-PD-8765;clr_d74fedd1fa;Черный;1;черный
KD-PD-8765__v002;KD-PD-8765;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-8777__v001;KD-PD-8777;clr_d74fedd1fa;Черный;1;черный
KD-PD-8777__v002;KD-PD-8777;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-8777__v003;KD-PD-8777;clr_7ca5cf6f56;Бежевый;1;Бежевый
KD-PD-9711__v001;KD-PD-9711;clr_d74fedd1fa;Черный;1;черный
KD-PD-8776__v001;KD-PD-8776;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-8758__v001;KD-PD-8758;clr_d74fedd1fa;Черный;1;черный
KD-PD-8758__v002;KD-PD-8758;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-8967__v001;KD-PD-8967;clr_2818a16c64;Белый;1;Белый
KD-PD-8967__v002;KD-PD-8967;clr_2818a16c64;Белый;1;Белый
KD-PD-8967__v003;KD-PD-8967;clr_2818a16c64;Белый;1;Белый
KD-PD-8977__v001;KD-PD-8977;clr_2818a16c64;Белый;1;Белый
KD-PD-7227__v001;KD-PD-7227;clr_2818a16c64;Белый;1;Белый
KD-PD-7227__v002;KD-PD-7227;clr_2818a16c64;Белый;1;Белый
KD-PD-7227__v003;KD-PD-7227;clr_2818a16c64;Белый;1;Белый
KD-PD-9976__v001;KD-PD-9976;clr_2818a16c64;Белый;1;Белый
KD-PD-8242__v001;KD-PD-8242;clr_812476ce58;Серебряный;1;Серебряный
KD-PD-8243__v001;KD-PD-8243;clr_812476ce58;Серебряный;1;Серебряный
KD-PD-11419__v001;KD-PD-11419;clr_2818a16c64;Белый;1;Белый
KD-PD-11431__v001;KD-PD-11431;clr_2818a16c64;Белый;1;Белый
KD-PD-11429__v001;KD-PD-11429;clr_2818a16c64;Белый;1;Белый
KD-PD-11421__v001;KD-PD-11421;clr_2818a16c64;Белый;1;Белый
KD-PD-11418__v001;KD-PD-11418;clr_2818a16c64;Белый;1;Белый
KD-PD-11436__v001;KD-PD-11436;clr_2818a16c64;Белый;1;Белый
KD-PD-11518__v001;KD-PD-11518;clr_2818a16c64;Белый;1;Белый
KD-PD-11441__v001;KD-PD-11441;clr_2818a16c64;Белый;1;Белый
KD-PD-11449__v001;KD-PD-11449;clr_2818a16c64;Белый;1;Белый
KD-PD-11440__v001;KD-PD-11440;clr_2818a16c64;Белый;1;Белый
KD-PD-9415__v001;KD-PD-9415;clr_2818a16c64;Белый;1;Белый
KD-PD-9418__v001;KD-PD-9418;clr_2818a16c64;Белый;1;Белый
KD-PD-8984__v001;KD-PD-8984;clr_2818a16c64;Белый;1;Белый
KD-PD-9975__v001;KD-PD-9975;clr_2818a16c64;Белый;1;Белый
KD-PD-9416__v001;KD-PD-9416;clr_2818a16c64;Белый;1;Белый
KD-PD-9417__v001;KD-PD-9417;clr_2818a16c64;Белый;1;Белый
KD-PD-10913__v001;KD-PD-10913;clr_2818a16c64;Белый;1;Белый
KD-PD-10911__v001;KD-PD-10911;clr_2818a16c64;Белый;1;Белый
KD-PD-10911__v002;KD-PD-10911;clr_2818a16c64;Белый;1;Белый
KD-PD-10925__v001;KD-PD-10925;clr_2818a16c64;Белый;1;Белый
KD-PD-11141__v001;KD-PD-11141;clr_2372492028;Зеленый;1;зеленый
KD-PD-10928__v001;KD-PD-10928;clr_2818a16c64;Белый;1;Белый
KD-PD-10917__v001;KD-PD-10917;clr_2818a16c64;Белый;1;Белый
KD-PD-10915__v001;KD-PD-10915;clr_2818a16c64;Белый;1;Белый
KD-PD-10924__v001;KD-PD-10924;clr_2818a16c64;Белый;1;Белый
KD-PD-10927__v001;KD-PD-10927;clr_2818a16c64;Белый;1;Белый
KD-PD-10926__v001;KD-PD-10926;clr_2818a16c64;Белый;1;Белый
KD-PD-10918__v001;KD-PD-10918;clr_2818a16c64;Белый;1;Белый
KD-PD-10919__v001;KD-PD-10919;clr_2818a16c64;Белый;1;Белый
KD-PD-10920__v001;KD-PD-10920;clr_2818a16c64;Белый;1;Белый
KD-PD-10921__v001;KD-PD-10921;clr_2818a16c64;Белый;1;Белый
KD-PD-10922__v001;KD-PD-10922;clr_2818a16c64;Белый;1;Белый
KD-PD-10923__v001;KD-PD-10923;clr_2818a16c64;Белый;1;Белый
KD-PD-10944__v001;KD-PD-10944;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10944__v001;KD-PD-10944;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-11006__v001;KD-PD-11006;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-11006__v001;KD-PD-11006;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10945__v001;KD-PD-10945;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10945__v001;KD-PD-10945;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10590__v001;KD-PD-10590;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10590__v001;KD-PD-10590;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10591__v001;KD-PD-10591;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10591__v001;KD-PD-10591;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10950__v001;KD-PD-10950;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10950__v001;KD-PD-10950;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10459__v001;KD-PD-10459;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10459__v001;KD-PD-10459;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10459__v002;KD-PD-10459;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10459__v002;KD-PD-10459;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10946__v001;KD-PD-10946;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10946__v001;KD-PD-10946;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10947__v001;KD-PD-10947;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10947__v001;KD-PD-10947;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10948__v001;KD-PD-10948;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10948__v001;KD-PD-10948;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10951__v001;KD-PD-10951;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10951__v001;KD-PD-10951;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10949__v001;KD-PD-10949;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10949__v001;KD-PD-10949;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10287__v001;KD-PD-10287;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-10127__v001;KD-PD-10127;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-10127__v002;KD-PD-10127;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-10283__v001;KD-PD-10283;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-10284__v001;KD-PD-10284;clr_df6d4fc5b2;Коричневый;1;коричневый
KD-PD-10256__v001;KD-PD-10256;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10256__v001;KD-PD-10256;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-10254__v001;KD-PD-10254;clr_2818a16c64;Белый;1;Белый / Золотой
KD-PD-10254__v001;KD-PD-10254;clr_b988d894d3;Золотой;2;Белый / Золотой
KD-PD-2000__v001;KD-PD-2000;clr_eaa16fa223;Ледяной Голубой;1;Ледяной Голубой
KD-PD-2000__v002;KD-PD-2000;clr_2818a16c64;Белый;1;Белый
KD-PD-2000__v003;KD-PD-2000;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-2003__v001;KD-PD-2003;clr_eaa16fa223;Ледяной Голубой;1;Ледяной Голубой
KD-PD-2010__v001;KD-PD-2010;clr_2818a16c64;Белый;1;Белый
KD-PD-2010__v002;KD-PD-2010;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-2001__v001;KD-PD-2001;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-2001__v002;KD-PD-2001;clr_2818a16c64;Белый;1;Белый
KD-PD-2004__v001;KD-PD-2004;clr_2818a16c64;Белый;1;Белый
KD-PD-10376__v001;KD-PD-10376;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10376__v002;KD-PD-10376;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10599__v001;KD-PD-10599;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-8695__v001;KD-PD-8695;clr_6e3a178629;Прозрачный;1;Прозрачный
KD-PD-10375__v001;KD-PD-10375;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10375__v002;KD-PD-10375;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10260__v001;KD-PD-10260;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10260__v001;KD-PD-10260;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10597__v001;KD-PD-10597;clr_2818a16c64;Белый;1;Белый
KD-PD-10597__v002;KD-PD-10597;clr_a39ee8788e;Голубой;1;Голубой
KD-PD-10981__v001;KD-PD-10981;clr_2818a16c64;Белый;1;Белый
KD-PD-10981__v002;KD-PD-10981;clr_2818a16c64;Белый;1;Белый
KD-PD-10981__v003;KD-PD-10981;clr_df6d4fc5b2;Коричневый;1;Коричневый
KD-PD-10981__v004;KD-PD-10981;clr_df6d4fc5b2;Коричневый;1;Коричневый
KD-PD-10259__v001;KD-PD-10259;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10259__v001;KD-PD-10259;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10258__v001;KD-PD-10258;clr_2818a16c64;Белый;1;Белый / Голубой
KD-PD-10258__v001;KD-PD-10258;clr_a39ee8788e;Голубой;2;Белый / Голубой
KD-PD-10244__v001;KD-PD-10244;clr_df6d4fc5b2;Коричневый;1;Коричневый
KD-PD-10239__v001;KD-PD-10239;clr_df6d4fc5b2;Коричневый;1;Коричневый
KD-PD-1__v001;KD-PD-1;clr_2818a16c64;Белый;1;Белый
KD-PD-1__v002;KD-PD-1;clr_2818a16c64;Белый;1;Белый
KD-PD-1__v003;KD-PD-1;clr_2818a16c64;Белый;1;Белый
KD-PD-1022__v001;KD-PD-1022;clr_2818a16c64;Белый;1;Белый
KD-PD-1022__v002;KD-PD-1022;clr_2818a16c64;Белый;1;Белый
KD-PD-1022__v003;KD-PD-1022;clr_2818a16c64;Белый;1;Белый
KD-PD-1022__v004;KD-PD-1022;clr_9aae9f80f3;Небесный;1;Небесный
KD-PD-1022__v005;KD-PD-1022;clr_9aae9f80f3;Небесный;1;Небесный
KD-PD-1022__v006;KD-PD-1022;clr_9aae9f80f3;Небесный;1;Небесный
KD-PD-1022__v007;KD-PD-1022;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1022__v008;KD-PD-1022;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1022__v009;KD-PD-1022;clr_7e1922e6be;Ночной синий;1;Ночной синий
KD-PD-1022__v010;KD-PD-1022;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-1022__v011;KD-PD-1022;clr_417dc1f5c1;Пудровый;1;Пудровый
KD-PD-1022__v012;KD-PD-1022;clr_417dc1f5c1;Пудровый;1;Пудровый
