image_id;variant_id;product_id;sort_order;path
KD-PD-7944__v003__img2;KD-PD-7944__v003;KD-PD-7944;2;/assets/images/6a3a73674e96f_big.jpg
KD-PD-7940__v001__img1;KD-PD-7940__v001;KD-PD-7940;1;/assets/images/6a394ba34f611_big.jpg
KD-PD-7940__v001__img2;KD-PD-7940__v001;KD-PD-7940;2;/assets/images/6a394ba3081b0_big.jpg
KD-PD-7937__v001__img1;KD-PD-7937__v001;KD-PD-7937;1;/assets/images/6a394f8eb12f9_big.jpg
KD-PD-7937__v001__img2;KD-PD-7937__v001;KD-PD-7937;2;/assets/images/6a394f8a58a79_big.jpg
KD-PD-9713__v001__img1;KD-PD-9713__v001;KD-PD-9713;1;/assets/images/6a43759554a63_big.jpg
KD-PD-9713__v001__img2;KD-PD-9713__v001;KD-PD-9713;2;/assets/images/6a437596a2438_big.jpg
KD-PD-9718__v001__img1;KD-PD-9718__v001;KD-PD-9718;1;/assets/images/6a4375af70c8c_big.jpg
KD-PD-9718__v001__img2;KD-PD-9718__v001;KD-PD-9718;2;/assets/images/6a4375af053ff_big.jpg
KD-PD-9718__v002__img1;KD-PD-9718__v002;KD-PD-9718;1;/assets/images/KD-PD-9718БЕЖЕВЫЙ.png
KD-PD-8768__v001__img1;KD-PD-8768__v001;KD-PD-8768;1;/assets/images/6a4374d62377f_big.jpg
KD-PD-8768__v001__img2;KD-PD-8768__v001;KD-PD-8768;2;/assets/images/6a4374d4b3831_big.jpg
KD-PD-8768__v002__img1;KD-PD-8768__v002;KD-PD-8768;1;/assets/images/6a4374d911192_big.jpg
KD-PD-8768__v002__img2;KD-PD-8768__v002;KD-PD-8768;2;/assets/images/6a4374d88ca9d_big.jpg
KD-PD-8770__v001__img1;KD-PD-8770__v001;KD-PD-8770;1;/assets/images/6a4374dca3f1b_big.jpg
KD-PD-8770__v001__img2;KD-PD-8770__v001;KD-PD-8770;2;/assets/images/6a4374dc0d590_big.jpg
KD-PD-8770__v002__img1;KD-PD-8770__v002;KD-PD-8770;1;/assets/images/KD-PD-8770БЕЖЕВЫЙ.png
KD-PD-8765__v001__img1;KD-PD-8765__v001;KD-PD-8765;1;/assets/images/6a4374d0b98ff_big.jpg
KD-PD-8765__v001__img2;KD-PD-8765__v001;KD-PD-8765;2;/assets/images/6a4374cf781d5_big.jpg
KD-PD-8765__v002__img1;KD-PD-8765__v002;KD-PD-8765;1;/assets/images/KD-PD-8765КОРИЧНЕВЫЙ.png
KD-PD-8777__v001__img1;KD-PD-8777__v001;KD-PD-8777;1;/assets/images/6a4374f158e23_big.jpg
KD-PD-8777__v001__img2;KD-PD-8777__v001;KD-PD-8777;2;/assets/images/6a4374f0beb87_big.jpg
KD-PD-8777__v002__img1;KD-PD-8777__v002;KD-PD-8777;1;/assets/images/6a4374f54239a_big.jpg
KD-PD-8777__v002__img2;KD-PD-8777__v002;KD-PD-8777;2;/assets/images/6a4374f4002a5_big.jpg
