filter_code;value_id;label;slug;product_count;variant_count;group_or_type;swatch_or_unit
size;siz_b5cef7b3f9;36,5×25×2 см;36-5-25-2-sm;1;1;dimensions;cm
size;siz_091fe0f1ec;36×25 см;36-25-sm;1;1;dimensions;cm
size;siz_3f90b1ef30;370 мл;370-ml;1;1;volume;ml
size;siz_42df2bf66b;40×40 см;40-40-sm;3;3;dimensions;cm
size;siz_9cc6425ff0;40×50 см;40-50-sm;1;1;dimensions;cm
size;siz_6f83027196;40×60 см;40-60-sm;1;1;dimensions;cm
size;siz_dde6fcf663;43×43 см;43-43-sm;1;1;dimensions;cm
size;siz_e0755f9edd;45 см;45-sm;1;1;single_dimension;cm
size;siz_3e53916ec5;450 мл;450-ml;4;4;volume;ml
size;siz_445e9902eb;45×45 см;45-45-sm;8;11;dimensions;cm
size;siz_2433ce5e05;45×65 см;45-65-sm;1;2;dimensions;cm
size;siz_373f8280b1;480 см;480-sm;1;1;single_dimension;cm
size;siz_260e8c4697;50×120 см;50-120-sm;1;1;dimensions;cm
size;siz_0df7e680c6;50×180 см;50-180-sm;2;2;dimensions;cm
size;siz_861fde37cf;50×250 см;50-250-sm;1;1;dimensions;cm
size;siz_ac5570a797;50×50 см;50-50-sm;1;3;dimensions;cm
size;siz_3beb187929;60×350 см;60-350-sm;1;1;dimensions;cm
size;siz_ecbdfa3a54;60×60 см;60-60-sm;2;6;dimensions;cm
size;siz_92d00adbcb;650 мл;650-ml;2;2;volume;ml
size;siz_c5de05dd2a;75 мл;75-ml;2;2;volume;ml
size;siz_300e900a10;8 см;8-sm;2;2;single_dimension;cm
size;siz_a73000bbb7;9 см;9-sm;1;1;single_dimension;cm
size;siz_d980d864d9;90 мл;90-ml;1;1;volume;ml
size;siz_fedf66bb17;990 мл;990-ml;2;2;volume;ml
size;siz_fc83c1a9eb;Евро 200×220 см;evro-200-220-sm;6;12;bedding;cm
size;siz_da5f51a102;Единый размер;edinyi-razmer;9;12;universal;
size;siz_d39de78aa3;Кинг сайз 220×240 см;king-saiz-220-240-sm;6;12;bedding;cm
size;siz_2f0c3b16c6;Полуторный 140×220 см;polutornyi-140-220-sm;3;8;bedding;cm
subcategory;sub_cabc3a88c6;Блюда и подача;blyuda-i-podacha;14;15;;
subcategory;sub_670975bdc1;Вазы и предметы интерьера;vazy-i-predmety-interera;2;4;;
subcategory;sub_06e60bd4fa;Декор для дома;dekor-dlya-doma;2;2;;
subcategory;sub_a86f8f51fb;Декоративные подушки;dekorativnye-podushki;7;14;;
subcategory;sub_6167da3955;Игры;igry;3;6;;
subcategory;sub_d0e0f50010;Канцтовары;kanctovary;1;1;;
subcategory;sub_2ac728af60;Корзины;korziny;1;2;;
subcategory;sub_96524f0b0f;Кружки, чайные и кофейные пары;kruzhki-chainye-i-kofeinye-pary;19;19;;
subcategory;sub_39802e3471;Плед;pled;3;7;;
subcategory;sub_93a000ac87;Плейсматы;pleismaty;1;3;;
subcategory;sub_e2ccec5fae;Подносы;podnosy;1;2;;
subcategory;sub_9d8f8a7b48;Покрывало;pokryvalo;1;4;;
subcategory;sub_309738921d;Постельное белье;postelnoe-bele;6;31;;
subcategory;sub_506b04c158;Салатники, cупницы и глубокие тарелки;salatniki-cupnicy-i-glubokie-tarelki;12;14;;
subcategory;sub_cf0cda3355;Салфетницы;salfetnicy;1;2;;
subcategory;sub_96372e8877;Свечи и диффузоры;svechi-i-diffuzory;8;16;;
subcategory;sub_0cf6b281d9;Столовые приборы;stolovye-pribory;2;2;;
subcategory;sub_9161b9503e;Столовый текстиль;stolovyi-tekstil;18;28;;
subcategory;sub_e0dae1999b;Тарелки;tarelki;24;27;;
subcategory;sub_afbde0ee64;Чайники, молочники и сахарницы;chainiki-molochniki-i-sa-arnicy;13;14;;
