variant_id;product_id;article;product_name;color_raw;aroma_id;aroma;size_id;size;price_rub;old_price_rub;height;width;volume;diameter;package_info;material_id;material;composition;details;collection_id;collection;capsule_id;capsule;category_id;category;subcategory_id;subcategory;ready_required;ready_optional;photo_1;photo_2;photo_3;ready_solution_description;available
KD-PD-1026__v002;KD-PD-1026;KD-PD-1026;Плед из кружева;Белый;;;siz_8b267a4c84;200×220 см;12990;;200 см;220 см;;;;mat_84ce26e46a;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;Зимняя сказка;;/assets/images/KD-PD-1026-WHITE02.png;;;;true
KD-PD-1026__v003;KD-PD-1026;KD-PD-1026;Плед из кружева;Молочный;;;siz_8b267a4c84;200×220 см;12990;;200 см;220 см;;;;mat_84ce26e46a;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_39802e3471;Плед;Зимняя сказка;;/assets/images/KD-PD-1026-BEIGE02.png;;;;true
KD-PD-1027__v001;KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;;;siz_fc83c1a9eb;Евро 200×220 см;8690;;200 см;220 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_56ec8dad2a;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_9d8f8a7b48;Покрывало;Зимняя сказка Пламя морских глубин;;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;;;;true
KD-PD-1027__v002;KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Молочный;;;siz_d39de78aa3;Кинг сайз 220×240 см;8690;;220 см;240 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_56ec8dad2a;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_9d8f8a7b48;Покрывало;Зимняя сказка Пламя морских глубин;;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;;;;true
KD-PD-1027__v003;KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;;;siz_fc83c1a9eb;Евро 200×220 см;8690;;200 см;220 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_56ec8dad2a;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_9d8f8a7b48;Покрывало;Зимняя сказка Пламя морских глубин;;/assets/images/KD-PD-1027СЕРОСИНИЙ.png;;;;true
KD-PD-1027__v004;KD-PD-1027;KD-PD-1027;Стёганое покрывало «Бархатный ритм»;Серо-синий;;;siz_d39de78aa3;Кинг сайз 220×240 см;8690;;220 см;240 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_56ec8dad2a;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_9d8f8a7b48;Покрывало;Зимняя сказка Пламя морских глубин;;/assets/images/KD-PD-1027СЕРОСИНИЙ.png;;;;true
KD-PD-1030__v001;KD-PD-1030;KD-PD-1030;"Чайная пара ""Лунная сказка""";Ночной синий;;;siz_6c0bc92bb9;250 мл;6990;;;;250 мл;15 см;Кружка 1 шт, Блюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;Рисунок;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;Зимняя сказка;;/assets/images/time-tea-pair.png;;;;true
KD-PD-1024__v001;KD-PD-1024;KD-PD-1024;"Комплект постельного белья ""Лунная сказка""";Ночной синий;;;siz_2f0c3b16c6;Полуторный 140×220 см;15990;;140 см;220 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;Зимняя сказка;;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;;;true
KD-PD-1024__v002;KD-PD-1024;KD-PD-1024;Комплект постельного белья «Лунная сказка»;Ночной синий;;;siz_fc83c1a9eb;Евро 200×220 см;18990;;200 см;220 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;Зимняя сказка;;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;;;true
KD-PD-1024__v003;KD-PD-1024;KD-PD-1024;Комплект постельного белья «Лунная сказка»;Ночной синий;;;siz_d39de78aa3;Кинг сайз 220×240 см;20990;;220 см;240 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;Зимняя сказка;;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;;;true
KD-PD-1025__v001;KD-PD-1025;KD-PD-1025;"Тарелка ""Лунная сказка""";Ночной синий;;;siz_66438ea56f;23 см;5990;;;;;23 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;Рисунок;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Пламя морских глубин,  Зимняя сказка;;/assets/images/moon-plate.png;;;;true
KD-PD-1028__v001;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Белый;;;siz_2f0c3b16c6;Полуторный 140×220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;;;true
KD-PD-1028__v002;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Белый;;;siz_fc83c1a9eb;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;;;true
KD-PD-1028__v003;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Белый;;;siz_d39de78aa3;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;;;true
KD-PD-1028__v004;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Ночной синий;;;siz_2f0c3b16c6;Полуторный 140×220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;;;true
KD-PD-1028__v005;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Ночной синий;;;siz_fc83c1a9eb;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;;;true
KD-PD-1028__v006;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Ночной синий;;;siz_d39de78aa3;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;;;true
KD-PD-1028__v007;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Пудровый;;;siz_2f0c3b16c6;Полуторный 140×220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/peach-sheet.jpg;/assets/images/KD-PD-1028-PUDRA02.png;;;true
KD-PD-1028__v008;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Пудровый;;;siz_fc83c1a9eb;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;;;true
KD-PD-1028__v009;KD-PD-1028;KD-PD-1028;Натяжная простыня из сатина;Пудровый;;;siz_d39de78aa3;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;;;true
KD-PD-1128__v001;KD-PD-1128;KD-PD-1128;Наволочка из сатина;Белый;;;siz_ecbdfa3a54;60×60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1128-WHITE01.png;/assets/images/KD-PD-1128-WHITE02.png;;;true
KD-PD-1128__v002;KD-PD-1128;KD-PD-1128;Наволочка из сатина;Ночной синий;;;siz_ecbdfa3a54;60×60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1128-DARK01.png;/assets/images/KD-PD-1128-DARK01.png;;;true
KD-PD-1128__v003;KD-PD-1128;KD-PD-1128;Наволочка из сатина;Пудровый;;;siz_ecbdfa3a54;60×60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_309738921d;Постельное белье;;;/assets/images/KD-PD-1128-PUDRA01.png;/assets/images/KD-PD-1128-PUDRA03.png;;;true
KD-PD-2519__v001;KD-PD-2519;KD-PD-2519;Свеча Феникс;Белый / Золотой;aro_df65c1cffb;Дерево жизни;siz_24d7b4453f;10 см;4990;;10 см;;;;;;;Воск;;col_0495d7f773;Феникс;cap_0495d7f773;Феникс;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;Пламя морских глубин;Зимняя сказка;/assets/images/KD-PD-2519.png;;;;true
KD-PD-2519__v002;KD-PD-2519;KD-PD-2519;Свеча Феникс;Белый / Золотой;aro_7e2909c610;Сандал и шалфей;siz_24d7b4453f;10 см;4990;;10 см;;;;;;;Воск;;col_0495d7f773;Феникс;cap_0495d7f773;Феникс;cat_06e60bd4fa;Декор для дома;sub_96372e8877;Свечи и диффузоры;Пламя морских глубин;Зимняя сказка;/assets/images/KD-PD-2519.png;;;;true
KD-PD-11417__v001;KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;Белый;;;siz_02a8197405;30 см;1794;2990;;;;30 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/69cfd1dbd8788_big.jpg;;;;true
KD-PD-11415__v001;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;Белый;;;siz_4863737db2;19 см;894;1490;;;;19 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/69a59fe31bc63_big.jpg;;;;true
KD-PD-11416__v001;KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;Белый;;;siz_89b0e8f00b;25 см;1314;2190;;;;25 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/69a59ff7219ee_big.jpg;;;;true
KD-PD-11514__v001;KD-PD-11514;KD-PD-11514;Чайная пара Овация;Белый;;;siz_7646237670;350 мл;1194;1990;;;350 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/6a85be4b7c47d_big.jpg;;;;true
KD-PD-11428__v001;KD-PD-11428;KD-PD-11428;Чайник Овация;Белый;;;siz_fedf66bb17;990 мл;2394;3990;;;990 мл;;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/6a85bf69a9fab_big.jpg;;;;true
KD-PD-11430__v001;KD-PD-11430;KD-PD-11430;Сахарница Овация;Белый;;;siz_52f22adf9e;240 мл;954;1590;;;240 мл;;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/6a85b5ce5156c_big.jpg;;;;true
KD-PD-11420__v001;KD-PD-11420;KD-PD-11420;Салатник Овация;Белый;;;siz_d912785d7f;16 см;1794;2990;;;;16 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;Зеленый салон Пламя морских глубин;Красные линии;/assets/images/6a85b4e761a4c_big.jpg;;;;true
KD-PD-11438__v001;KD-PD-11438;KD-PD-11438;Чайник Эхо;Белый;;;siz_fedf66bb17;990 мл;5593;7990;;;990 мл;;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;/assets/images/6a85bf6840c27_big.jpg;;;;true
KD-PD-11438__v002;KD-PD-11438;KD-PD-11438;Чайник Эхо;Белый;;;siz_03210f0271;1800 мл;6593;9990;;;1800 мл;;;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_afbde0ee64;Чайники, молочники и сахарницы;Красные линии;Зеленый салон;/assets/images/6a85bf6840c27_big.jpg;;;;true
KD-PD-11438A__v001;KD-PD-11438A;KD-PD-11438A;Чайная пара Эхо;Белый;;;siz_6c0bc92bb9;250 мл;2233;3190;;;250 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;;;/assets/images/6a85bf55372ef_big.jpg;;;;true
KD-PD-114381__v001;KD-PD-114381;KD-PD-114381;Тарелка глубокая Эхо;Белый;;;siz_7646237670;350 мл;3353;4790;;;350 мл;;;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;/assets/images/6a85b7d65b6f3_big.jpg;;;;true
KD-PD-114382__v001;KD-PD-114382;KD-PD-114382;Тарелка закусочная Эхо;Белый;;;siz_f666e724c3;20 см;2233;3190;;;;20 см;;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;Зеленый салон;/assets/images/6a85bab0339ea_big.jpg;;;;true
KD-PD-114383__v001;KD-PD-114383;KD-PD-114383;Тарелка обеденная Эхо;Белый;;;siz_89b0e8f00b;25 см;2793;3990;;;;30 см;;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;Зеленый салон;/assets/images/6a06d76222d16_big.jpg;;;;true
KD-PD-114384__v001;KD-PD-114384;KD-PD-114384;Тарелка десертная Эхо;Белый;;;siz_ca6b1b687c;18 см;1673;2390;;;;18 см;;mat_78141744da;Костяной фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;Зеленый салон;/assets/images/6a85ba923b6ef_big.jpg;;;;true
KD-PD-114385__v001;KD-PD-114385;KD-PD-114385;Супница Эхо;Белый;;;siz_92d00adbcb;650 мл;7273;10390;;;650 мл;;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;;col_dfe46751a4;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_506b04c158;Салатники, cупницы и глубокие тарелки;Красные линии;Зеленый салон;/assets/images/6a85b6e1b4b86_big.jpg;;;;true
KD-PD-10288__v001;KD-PD-10288;KD-PD-10288;Ваза Айсберг;Белый;;;siz_b3c8463150;15 см;14900;;;;;;;mat_2ca5cf94f3;Фарфор;100% фарфор;;;;;;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин;;/assets/images/6a0d5b3b35c53_big.jpg;/assets/images/68ecbba698a58_big.jpg;;;true
KD-PD-10288__v002;KD-PD-10288;KD-PD-10288;Ваза Айсберг;Белый;;;siz_ca6b1b687c;18 см;16900;;;;;;;mat_2ca5cf94f3;Фарфор;100% фарфор;;;;;;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин;;/assets/images/6a0d5b3b35c53_big.jpg;/assets/images/68ecbba698a58_big.jpg;;;true
KD-PD-11020__v001;KD-PD-11020;KD-PD-11020;Ваза Паскаль;Желтый;;;siz_3d2c0be121;36 см;24900;;;;;;;mat_e08aad5924;Стекло;100% стекло;;;;;;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин;;/assets/images/6a0d5b4123311_big.jpg;;;;true
KD-PD-11020__v002;KD-PD-11020;KD-PD-11020;Ваза Паскаль;Синий;;;siz_3d2c0be121;36 см;24900;;;;;;;mat_e08aad5924;Стекло;100% стекло;;;;;;cat_06e60bd4fa;Декор для дома;sub_670975bdc1;Вазы и предметы интерьера;Зимняя сказка Пламя морских глубин;;/assets/images/6a0d5b3d445c5_big.jpg;;;;true
KD-PD-10414__v001;KD-PD-10414;KD-PD-10414;Дорожка Мокоши;Белый;;;siz_0df7e680c6;50×180 см;14900;;50 см;180 см;;;;mat_65b3266963;Лён;100% лен;Вышивка\nКисточки;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/6a84708e939ec_big.jpg;;;;true
KD-PD-10932__v001;KD-PD-10932;KD-PD-10932;Кофейная пара Мокоши;Белый;;;siz_c5de05dd2a;75 мл;2990;;;;75 мл;;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;Красные линии;;/assets/images/69441f32012f2_big.jpg;;;;true
KD-PD-10587__v001;KD-PD-10587;KD-PD-10587;Плейсмат Мокоши;Белый;;;siz_9cc6425ff0;40×50 см;1590;;40 см;50 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/6a84709a367e8_big.jpg;;;;true
KD-PD-10567__v001;KD-PD-10567;KD-PD-10567;Салфетка Мокоши;Белый;;;siz_445e9902eb;45×45 см;1990;;45 см;45 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/6a8470a8f0e87_big.jpg;;;;true
KD-PD-10450__v001;KD-PD-10450;KD-PD-10450;Скатерть Мокоши;Белый;;;siz_a394ecc680;180×180 см;19900;;180 см;180 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/6a8471f1dc0ec_big.jpg;;;;true
KD-PD-10450__v002;KD-PD-10450;KD-PD-10450;Скатерть Мокоши;Белый;;;siz_e7edbe079b;180×250 см;20900;;180 см;250 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Красные линии;;/assets/images/6a8471f1dc0ec_big.jpg;;;;true
KD-PD-10400__v001;KD-PD-10400;KD-PD-10400;Тарелка десертная Мокоши;Красный;;;siz_4863737db2;19 см;2990;;;;;19 см;;mat_2ca5cf94f3;Фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_e0dae1999b;Тарелки;Красные линии;;/assets/images/694150e829683_big.jpg;;;;true
KD-PD-10930__v001;KD-PD-10930;KD-PD-10930;Чайная пара Мокоши;Красный;;;siz_6c0bc92bb9;250 мл;4590;;;;250 мл;19 см;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_96524f0b0f;Кружки, чайные и кофейные пары;Красные линии;;/assets/images/694151510f837_big.jpg;;;;true
KD-PD-8985__v001;KD-PD-8985;KD-PD-8985;Скатерть Весна;Белый;;;siz_e7edbe079b;180×250 см;9900;;180 см;250 см;;;;mat_84ce26e46a;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_9161b9503e;Столовый текстиль;Зеленый салон;Зеленый салон;/assets/images/KD-PD-8985.png;;;;true
