variant_id;product_id;article;variant_order;color_id;color_name;aroma_id;aroma_name;size_id;size_label;price_rub;old_price_rub;height;width;volume;diameter;package_info;material_id;material_name;composition;details;collection_id;collection_name;capsule_id;capsule_name;category_id;category_name;subcategory_id;subcategory_name;image_1;image_2;image_3
KD-PD-1026__v002;KD-PD-1026;KD-PD-1026;2;clr_2818a16c64;Белый;;;siz_b8d0455b94;200x220 см;12990;;200 см;220 см;;;;mat_365f34cf69;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_8aadebfefa;Плед;/assets/images/KD-PD-1026-WHITE02.png;;
KD-PD-1026__v003;KD-PD-1026;KD-PD-1026;3;clr_89001f99bc;Молочный;;;siz_b8d0455b94;200x220 см;12990;;200 см;220 см;;;;mat_365f34cf69;Хлопок;70% хлопок\n30% лен;Кружево;;;cap_235a4f2c57;Лунная сказка;cat_a0b0e47bba;Пледы и подушки;sub_8aadebfefa;Плед;/assets/images/KD-PD-1026-BEIGE02.png;;
KD-PD-1027__v001;KD-PD-1027;KD-PD-1027;1;clr_89001f99bc;Молочный;;;siz_9ac959ef7b;Евро 200×220 см;8690;;200 см;220 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_d572e9eb8f;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_b25ec2d0ad;Покрывало;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;;
KD-PD-1027__v002;KD-PD-1027;KD-PD-1027;2;clr_89001f99bc;Молочный;;;siz_c9a3d0e345;Кинг сайз 220×240 см;8690;;220 см;240 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_d572e9eb8f;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_b25ec2d0ad;Покрывало;/assets/images/KD-PD-1027МОЛОЧНЫЙ.png;;
KD-PD-1027__v003;KD-PD-1027;KD-PD-1027;3;clr_3afdfac7c7;Серо-синий;;;siz_9ac959ef7b;Евро 200×220 см;8690;;200 см;220 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_d572e9eb8f;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_b25ec2d0ad;Покрывало;/assets/images/KD-PD-1027СЕРОСИНИЙ.png;;
KD-PD-1027__v004;KD-PD-1027;KD-PD-1027;4;clr_3afdfac7c7;Серо-синий;;;siz_c9a3d0e345;Кинг сайз 220×240 см;8690;;220 см;240 см;;;;mat_9a7e557bb3;Микровелюр;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;;col_d572e9eb8f;Бархат;;;cat_a0b0e47bba;Пледы и подушки;sub_b25ec2d0ad;Покрывало;/assets/images/KD-PD-1027СЕРОСИНИЙ.png;;
KD-PD-1030__v001;KD-PD-1030;KD-PD-1030;1;clr_7e1922e6be;Ночной синий;;;siz_38d9e86809;250 мл;6990;;;;250 мл;15 см;Кружка 1 шт, Блюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;Рисунок;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/time-tea-pair.png;;
KD-PD-1024__v001;KD-PD-1024;KD-PD-1024;1;clr_7e1922e6be;Ночной синий;;;siz_715f625982;Полуторный 140x220 см;15990;;140 см;220 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;
KD-PD-1024__v002;KD-PD-1024;KD-PD-1024;2;clr_7e1922e6be;Ночной синий;;;siz_9ac959ef7b;Евро 200×220 см;18990;;200 см;220 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;
KD-PD-1024__v003;KD-PD-1024;KD-PD-1024;3;clr_7e1922e6be;Ночной синий;;;siz_c9a3d0e345;Кинг сайз 220×240 см;20990;;220 см;240 см;;;Наволочка 2 шт\n Простынь 1 шт\nПододеяльник 1 шт;mat_1afde5d89a;Шелк;100% Сатин;Вышивка;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1024-DARK01.png;/assets/images/KD-PD-1024-DARK02.png;
KD-PD-1025__v001;KD-PD-1025;KD-PD-1025;1;clr_7e1922e6be;Ночной синий;;;siz_83986fbbc4;23 см;5990;;;;;23 см;;mat_2ca5cf94f3;Фарфор;100% костяной фарфор;Рисунок;col_235a4f2c57;Лунная сказка;cap_235a4f2c57;Лунная сказка;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/moon-plate.png;;
KD-PD-1028__v001;KD-PD-1028;KD-PD-1028;1;clr_2818a16c64;Белый;;;siz_715f625982;Полуторный 140x220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;
KD-PD-1028__v002;KD-PD-1028;KD-PD-1028;2;clr_2818a16c64;Белый;;;siz_9ac959ef7b;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;
KD-PD-1028__v003;KD-PD-1028;KD-PD-1028;3;clr_2818a16c64;Белый;;;siz_c9a3d0e345;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;
KD-PD-1028__v004;KD-PD-1028;KD-PD-1028;4;clr_7e1922e6be;Ночной синий;;;siz_715f625982;Полуторный 140x220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;
KD-PD-1028__v005;KD-PD-1028;KD-PD-1028;5;clr_7e1922e6be;Ночной синий;;;siz_9ac959ef7b;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;
KD-PD-1028__v006;KD-PD-1028;KD-PD-1028;6;clr_7e1922e6be;Ночной синий;;;siz_c9a3d0e345;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-DARK01.png;/assets/images/KD-PD-1028-DARK02.png;
KD-PD-1028__v007;KD-PD-1028;KD-PD-1028;7;clr_417dc1f5c1;Пудровый;;;siz_715f625982;Полуторный 140x220 см;4990;;140 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/peach-sheet.jpg;/assets/images/KD-PD-1028-PUDRA02.png;
KD-PD-1028__v008;KD-PD-1028;KD-PD-1028;8;clr_417dc1f5c1;Пудровый;;;siz_9ac959ef7b;Евро 200×220 см;5990;;200 см;220 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;
KD-PD-1028__v009;KD-PD-1028;KD-PD-1028;9;clr_417dc1f5c1;Пудровый;;;siz_c9a3d0e345;Кинг сайз 220×240 см;6990;;220 см;240 см;;;;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1028-WHITE01.png;/assets/images/KD-PD-1028-WHITE03.png;
KD-PD-1128__v001;KD-PD-1128;KD-PD-1128;1;clr_2818a16c64;Белый;;;siz_4e61d7d82a;60 x 60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1128-WHITE01.png;/assets/images/KD-PD-1128-WHITE02.png;
KD-PD-1128__v002;KD-PD-1128;KD-PD-1128;2;clr_7e1922e6be;Ночной синий;;;siz_4e61d7d82a;60 x 60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1128-DARK01.png;/assets/images/KD-PD-1128-DARK01.png;
KD-PD-1128__v003;KD-PD-1128;KD-PD-1128;3;clr_417dc1f5c1;Пудровый;;;siz_4e61d7d82a;60 x 60 см;4990;;60 см;60 см;;;Наволочка 2 шт;mat_1afde5d89a;Шелк;100% Сатин;;;;;;cat_309738921d;Постельное белье;sub_ddc8d3685a;Постельное белье;/assets/images/KD-PD-1128-PUDRA01.png;/assets/images/KD-PD-1128-PUDRA03.png;
KD-PD-2519__v001;KD-PD-2519;KD-PD-2519;1;clr_b598b3ae9a;Белый / Золотой;aro_df65c1cffb;Дерево жизни;siz_aac21ac6d6;10 см;4990;;10 см;;;;;;;Воск;;col_0495d7f773;Феникс;cap_0495d7f773;Феникс;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;/assets/images/KD-PD-2519.png;;
KD-PD-2519__v002;KD-PD-2519;KD-PD-2519;2;clr_b598b3ae9a;Белый / Золотой;aro_7e2909c610;Сандал и шалфей;siz_aac21ac6d6;10 см;4990;;10 см;;;;;;;Воск;;col_0495d7f773;Феникс;cap_0495d7f773;Феникс;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;/assets/images/KD-PD-2519.png;;
KD-PD-11417__v001;KD-PD-11417;KD-PD-11417;1;clr_2818a16c64;Белый;;;siz_04db6fb82b;30 см;1794;2990;;;;30 см;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/69cfd1dbd8788_big.jpg;;
KD-PD-11415__v001;KD-PD-11415;KD-PD-11415;1;clr_2818a16c64;Белый;;;siz_8853f4a4f0;19 см;894;1490;;;;19 см;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/69a59fe31bc63_big.jpg;;
KD-PD-11416__v001;KD-PD-11416;KD-PD-11416;1;clr_2818a16c64;Белый;;;siz_ceaf7d5081;25 см;1314;2190;;;;25 см;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/69a59ff7219ee_big.jpg;;
KD-PD-11514__v001;KD-PD-11514;KD-PD-11514;1;clr_2818a16c64;Белый;;;siz_eb9ef0c2c4;350 мл;1194;1990;;;350 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/6a85be4b7c47d_big.jpg;;
KD-PD-11428__v001;KD-PD-11428;KD-PD-11428;1;clr_2818a16c64;Белый;;;siz_24947c1ed9;990 мл;2394;3990;;;990 мл;;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;/assets/images/6a85bf69a9fab_big.jpg;;
KD-PD-11430__v001;KD-PD-11430;KD-PD-11430;1;clr_2818a16c64;Белый;;;siz_637a22f44a;240 мл;954;1590;;;240 мл;;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;/assets/images/6a85b5ce5156c_big.jpg;;
KD-PD-11420__v001;KD-PD-11420;KD-PD-11420;1;clr_2818a16c64;Белый;;;siz_c1e8cc52fa;16 см;1794;2990;;;;16 см;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_02264c193e;Овация;;;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;/assets/images/6a85b4e761a4c_big.jpg;;
KD-PD-11438__v001;KD-PD-11438;KD-PD-11438;1;clr_2818a16c64;Белый;;;siz_24947c1ed9;990 мл;5593;7990;;;990 мл;;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;/assets/images/6a85bf6840c27_big.jpg;;
KD-PD-11438__v002;KD-PD-11438;KD-PD-11438;2;clr_2818a16c64;Белый;;;siz_3ff172e1b5;1800 мл;6593;9990;;;1800 мл;;;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;/assets/images/6a85bf6840c27_big.jpg;;
KD-PD-11438A__v001;KD-PD-11438A;KD-PD-11438A;1;clr_2818a16c64;Белый;;;siz_38d9e86809;250 мл;2233;3190;;;250 мл;18 см;Кружка 1 шт\nБлюдце 1 шт;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/6a85bf55372ef_big.jpg;;
KD-PD-114381__v001;KD-PD-114381;KD-PD-114381;1;clr_2818a16c64;Белый;;;siz_eb9ef0c2c4;350 мл;3353;4790;;;350 мл;;;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;/assets/images/6a85b7d65b6f3_big.jpg;;
KD-PD-114382__v001;KD-PD-114382;KD-PD-114382;1;clr_2818a16c64;Белый;;;siz_054a92fa30;20 см;2233;3190;;;;20 см;;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/6a85bab0339ea_big.jpg;;
KD-PD-114383__v001;KD-PD-114383;KD-PD-114383;1;clr_2818a16c64;Белый;;;siz_ceaf7d5081;25 см;2793;3990;;;;30 см;;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/6a06d76222d16_big.jpg;;
KD-PD-114384__v001;KD-PD-114384;KD-PD-114384;1;clr_2818a16c64;Белый;;;siz_2276053655;18 см;1673;2390;;;;18 см;;mat_78141744da;костяной фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/6a85ba923b6ef_big.jpg;;
KD-PD-114385__v001;KD-PD-114385;KD-PD-114385;1;clr_2818a16c64;Белый;;;siz_c2c9e33825;650 мл;7273;10390;;;650 мл;;;mat_2ca5cf94f3;фарфор;100% костяной фарфор;;col_369c12a8e3;Эхо;;;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;/assets/images/6a85b6e1b4b86_big.jpg;;
KD-PD-10288__v001;KD-PD-10288;KD-PD-10288;1;clr_2818a16c64;Белый;;;siz_c03c38ee37;15 см;14900;;;;;;;mat_2ca5cf94f3;фарфор;100% фарфор;;;;;;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;/assets/images/6a0d5b3b35c53_big.jpg;/assets/images/68ecbba698a58_big.jpg;
KD-PD-10288__v002;KD-PD-10288;KD-PD-10288;2;clr_2818a16c64;Белый;;;siz_2276053655;18 см;16900;;;;;;;mat_2ca5cf94f3;фарфор;100% фарфор;;;;;;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;/assets/images/6a0d5b3b35c53_big.jpg;/assets/images/68ecbba698a58_big.jpg;
KD-PD-11020__v001;KD-PD-11020;KD-PD-11020;1;clr_db1adb0a92;Желтый;;;siz_3a4fb28d38;36 см;24900;;;;;;;mat_e08aad5924;Стекло;100% стекло;;;;;;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;/assets/images/6a0d5b4123311_big.jpg;;
KD-PD-11020__v002;KD-PD-11020;KD-PD-11020;2;clr_398bc3d0f7;Синий;;;siz_3a4fb28d38;36 см;24900;;;;;;;mat_e08aad5924;Стекло;100% стекло;;;;;;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;/assets/images/6a0d5b3d445c5_big.jpg;;
KD-PD-10414__v001;KD-PD-10414;KD-PD-10414;1;clr_2818a16c64;Белый;;;siz_d5d553e98e;50х180 см;14900;;50 см;180 см;;;;mat_65b3266963;лён;100% лен;Вышивка\nКисточки;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/6a84708e939ec_big.jpg;;
KD-PD-10932__v001;KD-PD-10932;KD-PD-10932;1;clr_2818a16c64;Белый;;;siz_d2ccb195b4;75 мл;2990;;;;75 мл;;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/69441f32012f2_big.jpg;;
KD-PD-10587__v001;KD-PD-10587;KD-PD-10587;1;clr_2818a16c64;Белый;;;siz_9211a1f518;40х50 см;1590;;40 см;50 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/6a84709a367e8_big.jpg;;
KD-PD-10567__v001;KD-PD-10567;KD-PD-10567;1;clr_2818a16c64;Белый;;;siz_8e6221b6a2;45х45 см;1990;;45 см;45 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/6a8470a8f0e87_big.jpg;;
KD-PD-10450__v001;KD-PD-10450;KD-PD-10450;1;clr_2818a16c64;Белый;;;siz_0d3f694334;180x180 см;19900;;180 см;180 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/6a8471f1dc0ec_big.jpg;;
KD-PD-10450__v002;KD-PD-10450;KD-PD-10450;2;clr_2818a16c64;Белый;;;siz_6f1f15bfd3;180x250 см;20900;;180 см;250 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;Вышивка;col_d2a2455e4e;Мокоши;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/6a8471f1dc0ec_big.jpg;;
KD-PD-10400__v001;KD-PD-10400;KD-PD-10400;1;clr_8717c2ffa9;Красный;;;siz_8853f4a4f0;19 см;2990;;;;;19 см;;mat_2ca5cf94f3;Фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;/assets/images/694150e829683_big.jpg;;
KD-PD-10930__v001;KD-PD-10930;KD-PD-10930;1;clr_8717c2ffa9;Красный;;;siz_38d9e86809;250 мл;4590;;;;250 мл;19 см;Кружка 1 шт\nБлюдце 1 шт;mat_2ca5cf94f3;Фарфор;100% фарфор;;col_d2a2455e4e;Мокоши;;;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;/assets/images/694151510f837_big.jpg;;
KD-PD-8985__v001;KD-PD-8985;KD-PD-8985;1;clr_2818a16c64;Белый;;;siz_6f1f15bfd3;180x250 см;9900;;180 см;250 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8985.png;;
KD-PD-8985__v002;KD-PD-8985;KD-PD-8985;2;clr_2818a16c64;Белый;;;siz_1a260a7279;180x350 см;9900;;180 см;350 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8985.png;;
KD-PD-8982__v001;KD-PD-8982;KD-PD-8982;1;clr_2818a16c64;Белый;;;siz_8e6221b6a2;45х45 см;990;;45 см;65 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8982WHITE.png;;
KD-PD-8982__v002;KD-PD-8982;KD-PD-8982;2;clr_2818a16c64;Белый;;;siz_b1016065a0;45х65 см;990;;45 см;65 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8982WHITE.png;;
KD-PD-8982__v003;KD-PD-8982;KD-PD-8982;3;clr_2372492028;Зеленый;;;siz_8e6221b6a2;45х45 см;990;;45 см;65 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8982GREEN.png;;
KD-PD-8982__v004;KD-PD-8982;KD-PD-8982;4;clr_2372492028;Зеленый;;;siz_b1016065a0;45х65 см;990;;45 см;65 см;;;;mat_365f34cf69;Хлопок;100% Хлопок;;col_1b2574531b;Весна;;;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;/assets/images/KD-PD-8982GREEN.png;;
