product_id;article;name;catalog_sort_order;category_id;category_name;subcategory_id;subcategory_name;collection_id;collection_name;capsule_id;capsule_name;materials;variant_count;min_price_rub;max_price_rub;min_old_price_rub;max_old_price_rub;primary_image;has_ready_solution
KD-PD-114381;KD-PD-114381;Тарелка глубокая Эхо;25;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_369c12a8e3;Эхо;;;костяной фарфор;1;3353;3353;4790;4790;/assets/images/6a85b7d65b6f3_big.jpg;true
KD-PD-114382;KD-PD-114382;Тарелка закусочная Эхо;26;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_369c12a8e3;Эхо;;;костяной фарфор;1;2233;2233;3190;3190;/assets/images/6a85bab0339ea_big.jpg;true
KD-PD-114383;KD-PD-114383;Тарелка обеденная Эхо;27;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_369c12a8e3;Эхо;;;костяной фарфор;1;2793;2793;3990;3990;/assets/images/6a06d76222d16_big.jpg;true
KD-PD-114384;KD-PD-114384;Тарелка десертная Эхо;28;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_369c12a8e3;Эхо;;;костяной фарфор;1;1673;1673;2390;2390;/assets/images/6a85ba923b6ef_big.jpg;true
KD-PD-114385;KD-PD-114385;Супница Эхо;29;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_369c12a8e3;Эхо;;;фарфор;1;7273;7273;10390;10390;/assets/images/6a85b6e1b4b86_big.jpg;true
KD-PD-10288;KD-PD-10288;Ваза Айсберг;30;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;;;;;фарфор;2;14900;16900;;;/assets/images/6a0d5b3b35c53_big.jpg;true
KD-PD-11020;KD-PD-11020;Ваза Паскаль;31;cat_06e60bd4fa;Декор для дома;sub_f2969dd4bc;Вазы и предметы интерьера;;;;;Стекло;2;24900;24900;;;/assets/images/6a0d5b4123311_big.jpg;true
KD-PD-10414;KD-PD-10414;Дорожка Мокоши;32;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d2a2455e4e;Мокоши;;;лён;1;14900;14900;;;/assets/images/6a84708e939ec_big.jpg;true
KD-PD-10932;KD-PD-10932;Кофейная пара Мокоши;33;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_d2a2455e4e;Мокоши;;;фарфор;1;2990;2990;;;/assets/images/69441f32012f2_big.jpg;true
KD-PD-10587;KD-PD-10587;Плейсмат Мокоши;34;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d2a2455e4e;Мокоши;;;Хлопок;1;1590;1590;;;/assets/images/6a84709a367e8_big.jpg;true
KD-PD-10567;KD-PD-10567;Салфетка Мокоши;35;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d2a2455e4e;Мокоши;;;Хлопок;1;1990;1990;;;/assets/images/6a8470a8f0e87_big.jpg;true
KD-PD-10450;KD-PD-10450;Скатерть Мокоши;36;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d2a2455e4e;Мокоши;;;Хлопок;2;19900;20900;;;/assets/images/6a8471f1dc0ec_big.jpg;true
KD-PD-10400;KD-PD-10400;Тарелка десертная Мокоши;37;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_d2a2455e4e;Мокоши;;;Фарфор;1;2990;2990;;;/assets/images/694150e829683_big.jpg;true
KD-PD-10930;KD-PD-10930;Чайная пара Мокоши;38;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_d2a2455e4e;Мокоши;;;Фарфор;1;4590;4590;;;/assets/images/694151510f837_big.jpg;true
KD-PD-8985;KD-PD-8985;Скатерть Весна;39;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_1b2574531b;Весна;;;Хлопок;2;9900;9900;;;/assets/images/KD-PD-8985.png;true
KD-PD-8982;KD-PD-8982;Плейсмат Весна;40;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_1b2574531b;Весна;;;Хлопок;4;990;990;;;/assets/images/KD-PD-8982WHITE.png;true
KD-PD-11033;KD-PD-11033;Подушка декоративная Алатырь;41;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;col_d2a2455e4e;Мокоши;;;;1;5990;5990;;;/assets/images/69e233fdc6992_big.jpg;true
KD-PD-11034;KD-PD-11034;Подушка декоративная Мокоши;42;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;col_d2a2455e4e;Мокоши;;;;1;5990;5990;;;/assets/images/69e234045d0a5_big.jpg;true
KD-PD-10841;KD-PD-10841;Плед Пушица;43;cat_a0b0e47bba;Пледы и подушки;sub_8aadebfefa;Плед;col_6e53a82ab7;Оренбургские узоры;;;;3;29900;29900;;;/assets/images/KD-PD-10841БЕЖЕВЫЙ.png;true
KD-PD-10786;KD-PD-10786;Подушка декоративная Пушица;44;cat_a0b0e47bba;Пледы и подушки;sub_1fd037451b;Декоративные подушки;col_6e53a82ab7;Оренбургские узоры;;;;3;9900;9900;;;/assets/images/KD-PD-10786БЕЖЕВЫЙ.png;true
KD-PD-7947;KD-PD-7947;Блюдо Петербург;45;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_23dacecafa;Петербург;;;костяной фарфор;1;5995;5995;11990;11990;/assets/images/687e4847be118_big.jpg;true
KD-PD-8312;KD-PD-8312;Дорожка Петербург;46;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_23dacecafa;Петербург;;;сатин;1;2500;2500;5000;5000;/assets/images/6a8317467f780_big.jpg;true
KD-PD-7941;KD-PD-7941;Кружка Петербург;47;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_23dacecafa;Петербург;;;костяной фарфор;1;4995;4995;9990;9990;/assets/images/68ee0faf95812_big.png;true
KD-PD-7942;KD-PD-7942;Салатник Петербург;48;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_23dacecafa;Петербург;;;костяной фарфор;2;2995;5995;5990;11990;/assets/images/6a3a860480fbd_big.jpg;true
KD-PD-7242;KD-PD-7242;Салфетки Петербург;49;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_23dacecafa;Петербург;;;сатин;1;650;650;1300;1300;/assets/images/6a831e350cf34_big.jpg;true
KD-PD-7938;KD-PD-7938;Сахарница Петербург;50;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_23dacecafa;Петербург;;;костяной фарфор;1;7950;7950;15900;15900;/assets/images/6a394b88d86f5_big.jpg;true
KD-PD-8256;KD-PD-8256;Скатерть Петербург;51;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_23dacecafa;Петербург;;;сатин;1;7250;7250;14500;14500;/assets/images/6a847053607fe_big.jpg;true
KD-PD-7939;KD-PD-7939;Сливочник Петербург;52;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_23dacecafa;Петербург;;;костяной фарфор;1;6450;6450;12900;12900;/assets/images/6a632cffe8804_big.jpg;true
KD-PD-7944;KD-PD-7944;Тарелка Петербург;53;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_23dacecafa;Петербург;;;костяной фарфор;3;2895;3995;5790;7990;/assets/images/6a06d7497fe35_big.jpg;true
KD-PD-7940;KD-PD-7940;Чайная пара Петербург;54;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_23dacecafa;Петербург;;;костяной фарфор;1;4995;4995;9990;9990;/assets/images/6a394ba34f611_big.jpg;true
KD-PD-7937;KD-PD-7937;Чайник Петербург;55;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_23dacecafa;Петербург;;;костяной фарфор;1;9950;9950;19900;19900;/assets/images/6a394f8eb12f9_big.jpg;true
KD-PD-9713;KD-PD-9713;Обложка для ежедневника Текстура;56;cat_06e60bd4fa;Декор для дома;sub_437eaa4097;Канцтовары;col_b9cced354f;Текстура;;;натуральная кожа;1;2600;2600;6500;6500;/assets/images/6a43759554a63_big.jpg;true
KD-PD-9718;KD-PD-9718;Игра домино Текстура;57;cat_06e60bd4fa;Декор для дома;sub_1fc31bac1e;Игры;col_b9cced354f;Текстура;;;натуральная кожа;2;6200;6200;15500;15500;/assets/images/6a4375af70c8c_big.jpg;true
KD-PD-8768;KD-PD-8768;Игра крестики - нолики Текстура;58;cat_06e60bd4fa;Декор для дома;sub_1fc31bac1e;Игры;col_b9cced354f;Текстура;;;натуральная кожа;2;9000;9000;22500;22500;/assets/images/6a4374d62377f_big.jpg;true
KD-PD-8770;KD-PD-8770;Игра шашки Текстура;59;cat_06e60bd4fa;Декор для дома;sub_1fc31bac1e;Игры;col_b9cced354f;Текстура;;;натуральная кожа;2;13000;13000;32500;32500;/assets/images/6a4374dca3f1b_big.jpg;true
KD-PD-8765;KD-PD-8765;Корзина Текстура;60;cat_06e60bd4fa;Декор для дома;sub_7ebef14b24;Корзины;col_b9cced354f;Текстура;;;натуральная кожа;2;8840;15960;22100;39900;/assets/images/6a4374d0b98ff_big.jpg;true
KD-PD-8777;KD-PD-8777;Плейсмат Текстура;61;cat_9161b9503e;Столовый текстиль;sub_4b617e294b;Плейсматы;col_b9cced354f;Текстура;;;натуральная кожа;3;3960;3960;9900;9900;/assets/images/6a4374f158e23_big.jpg;true
KD-PD-9711;KD-PD-9711;Поднос Текстура;62;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_b9cced354f;Текстура;;;натуральная кожа;1;11800;11800;29500;29500;/assets/images/6a58e99971c7c_big.jpg;true
KD-PD-8776;KD-PD-8776;Подставка под бокал Текстура;63;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_b9cced354f;Текстура;;;натуральная кожа;1;596;596;1490;1490;/assets/images/6a4374ed2e7de_big.jpg;true
KD-PD-8758;KD-PD-8758;Салфетница Текстура;64;cat_c26358d6ce;Посуда и сервировка;sub_0e61d043ef;Салфетницы;col_b9cced354f;Текстура;;;натуральная кожа;2;5040;5040;12600;12600;/assets/images/6a4374b928bc8_big.jpg;true
KD-PD-8967;KD-PD-8967;Дорожка Многоцвет;65;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d84cdeb339;Многоцвет;;;Хлопок;3;2495;3495;4990;6990;/assets/images/68b028406ce99_big.jpg;true
KD-PD-8977;KD-PD-8977;Конверт для столовых приборов Многоцветы;66;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d84cdeb339;Многоцвет;;;Хлопок;1;345;345;690;690;/assets/images/6a46789a02f21_big.jpg;true
KD-PD-7227;KD-PD-7227;Скатерть Многоцвет;67;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_d84cdeb339;Многоцвет;;;Хлопок;3;4495;4495;8990;8990;/assets/images/6a0abbf14fafb_big.jpg;true
KD-PD-9976;KD-PD-9976;Свеча Многоцветы;68;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;col_d84cdeb339;Многоцвет;;;соевый воск;1;792;792;990;990;/assets/images/69df5f57970e0_big.jpg;true
KD-PD-8242;KD-PD-8242;Набор столовых приборов Александр;69;cat_c26358d6ce;Посуда и сервировка;sub_2ccd4e22c9;Столовые приборы;col_0cf6b281d9;Столовые приборы;;;нержавеющая сталь 18/10;1;32900;32900;;;/assets/images/6a57511b9cbbf_big.jpg;true
KD-PD-8243;KD-PD-8243;Набор столовых приборов Петр;70;cat_c26358d6ce;Посуда и сервировка;sub_2ccd4e22c9;Столовые приборы;col_0cf6b281d9;Столовые приборы;;;Сталь;1;20900;20900;;;/assets/images/6a3d1d63d385c_big.jpg;true
KD-PD-11521;KD-PD-11521;Диффузор;71;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;;;;;;3;3990;3990;;;/assets/images/69b16002123a4_big.png;true
KD-PD-11419;KD-PD-11419;Блюдо овальное Овация;72;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_02264c193e;Овация;;;фарфор;1;2154;2154;3590;3590;/assets/images/6a3a77ab1a012_big.jpg;true
KD-PD-11431;KD-PD-11431;Кружка Овация;73;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_02264c193e;Овация;;;фарфор;1;714;714;1190;1190;/assets/images/6a394affdcfc4_big.jpg;true
KD-PD-11429;KD-PD-11429;Молочник Овация;74;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_02264c193e;Овация;;;фарфор;1;894;894;1490;1490;/assets/images/KD-PD-11429.jpg;true
KD-PD-11421;KD-PD-11421;Салатник Овация;75;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_02264c193e;Овация;;;фарфор;1;1794;1794;2990;2990;/assets/images/6a3a861013057_big.jpg;true
KD-PD-11418;KD-PD-11418;Тарелка глубокая Овация;76;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_02264c193e;Овация;;;фарфор;1;1794;1794;2990;2990;/assets/images/69cfcf5d94387_big.jpg;true
KD-PD-11436;KD-PD-11436;Блюдо овальное Эхо;77;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_369c12a8e3;Эхо;;;костяной фарфор;1;3190;3190;3190;3190;/assets/images/KD-PD-11436.jpg;true
KD-PD-11518;KD-PD-11518;Кофейная пара Эхо;78;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_369c12a8e3;Эхо;;;костяной фарфор;1;1673;1673;2390;2390;/assets/images/6a85bf55372ef_big.jpg;true
KD-PD-11441;KD-PD-11441;Молочник Эхо;79;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_369c12a8e3;Эхо;;;костяной фарфор;1;1673;1673;2390;2390;/assets/images/KD-PD-11441.jpg;true
KD-PD-11449;KD-PD-11449;Салатник Эхо;80;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_369c12a8e3;Эхо;;;костяной фарфор;1;903;903;1290;1290;/assets/images/KD-PD-11449.jpg;true
KD-PD-11440;KD-PD-11440;Сахарница Эхо;81;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_369c12a8e3;Эхо;;;костяной фарфор;1;2513;2513;3590;3590;/assets/images/KD-PD-11440.jpg;true
KD-PD-9415;KD-PD-9415;Ваза для фруктов Весна;82;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_1b2574531b;Весна;;;фарфор;1;1436;1436;3590;3590;/assets/images/KD-PD-9415.png;true
KD-PD-9418;KD-PD-9418;Кружка Весна;83;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_1b2574531b;Весна;;;фарфор;1;596;596;1490;1490;/assets/images/KD-PD-9418.png;true
KD-PD-8984;KD-PD-8984;Салфетка Весна;84;cat_9161b9503e;Столовый текстиль;sub_2cf1fa1e31;Столовый текстиль;col_1b2574531b;Весна;;;сатин;1;1290;1290;;;/assets/images/KD-PD-8984.png;true
KD-PD-9975;KD-PD-9975;Свеча Весна;85;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;col_1b2574531b;Весна;;;соевый воск;1;792;792;990;990;/assets/images/69df5f56592b1_big.jpg;true
KD-PD-9416;KD-PD-9416;Тарелка закусочная Весна;86;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_1b2574531b;Весна;;;фарфор;1;1116;1116;2790;2790;/assets/images/KD-PD-9416.png;true
KD-PD-9417;KD-PD-9417;Тарелка обеденная Весна;87;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_1b2574531b;Весна;;;фарфор;1;1436;1436;3590;3590;/assets/images/KD-PD-9417.png;true
KD-PD-10913;KD-PD-10913;Блюдо Весенний сад;88;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_f61a6a0d8c;Весенний сад;;;фарфор;1;5592;5592;6990;6990;/assets/images/6a85ae21c78e0_big.jpg;true
KD-PD-10911;KD-PD-10911;Блюдо Весенний сад;89;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_f61a6a0d8c;Весенний сад;;;фарфор;2;4472;6392;5590;7990;/assets/images/KD-PD-10911.png;true
KD-PD-10925;KD-PD-10925;Кофейная пара Весенний сад;90;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_f61a6a0d8c;Весенний сад;;;фарфор;1;2072;2072;2590;2590;/assets/images/6a85afc487304_big.jpg;true
KD-PD-11141;KD-PD-11141;Набор свечей Весенний сад;91;cat_06e60bd4fa;Декор для дома;sub_e84fb641e5;Свечи и диффузоры;col_f61a6a0d8c;Весенний сад;;;парафин;1;2990;2990;;;/assets/images/69df9867a661d_big.jpg;true
KD-PD-10928;KD-PD-10928;Перечница Весенний сад;92;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_f61a6a0d8c;Весенний сад;;;фарфор;1;1032;1032;1290;1290;/assets/images/KD-PD-10928.png;true
KD-PD-10917;KD-PD-10917;Розетка для варенья Весенний сад;93;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;1112;1112;1390;1390;/assets/images/KD-PD-10917.png;true
KD-PD-10915;KD-PD-10915;Салатник Весенний сад;94;cat_c26358d6ce;Посуда и сервировка;sub_fdfec7942e;Салатники, cупницы и глубокие тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;3672;3672;4590;4590;/assets/images/KD-PD-10915.png;true
KD-PD-10924;KD-PD-10924;Сахарница Весенний сад;95;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_f61a6a0d8c;Весенний сад;;;фарфор;1;3032;3032;3790;3790;/assets/images/KD-PD-10924.png;true
KD-PD-10927;KD-PD-10927;Солонка Весенний сад;96;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_f61a6a0d8c;Весенний сад;;;фарфор;1;1032;1032;1290;1290;/assets/images/KD-PD-10927.png;true
KD-PD-10926;KD-PD-10926;Соусник Весенний сад;97;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_f61a6a0d8c;Весенний сад;;;фарфор;1;2232;2232;2790;2790;/assets/images/KD-PD-10926.png;true
KD-PD-10918;KD-PD-10918;Тарелка десертная Весенний сад;98;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;1992;1992;2490;2490;/assets/images/KD-PD-10918.png;true
KD-PD-10919;KD-PD-10919;Тарелка закусочная Весенний сад;99;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;2232;2232;2790;2790;/assets/images/KD-PD-10919.png;true
KD-PD-10920;KD-PD-10920;Тарелка обеденная Весенний сад;100;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;2632;2632;3290;3290;/assets/images/6a85bcecc09c8_big.jpg;true
KD-PD-10921;KD-PD-10921;Тарелка подстановочная Весенний сад;101;cat_c26358d6ce;Посуда и сервировка;sub_1f31f8093b;Тарелки;col_f61a6a0d8c;Весенний сад;;;фарфор;1;4392;4392;5490;5490;/assets/images/6a85bcfa2f399_big.jpg;true
KD-PD-10922;KD-PD-10922;Чайная пара Весенний сад;102;cat_c26358d6ce;Посуда и сервировка;sub_a84f50e982;Кружки, чайные и кофейные пары;col_f61a6a0d8c;Весенний сад;;;фарфор;1;2792;2792;3490;3490;/assets/images/KD-PD-10922.png;true
KD-PD-10923;KD-PD-10923;Чайник Весенний сад;103;cat_c26358d6ce;Посуда и сервировка;sub_eb5c1fff3a;Чайники, молочники и сахарницы;col_f61a6a0d8c;Весенний сад;;;фарфор;1;6392;6392;7990;7990;/assets/images/6a85bf6fe9fa3_big.jpg;true
KD-PD-10944;KD-PD-10944;Блюдо Дияф;104;cat_c26358d6ce;Посуда и сервировка;sub_e4b3613237;Блюда и подача;col_9d34c5e77b;Дияф;;;фарфор;1;6990;6990;;;/assets/images/698deddc79da9_big.JPG;true
