product_id;group_id;group_name
KD-PD-8765;cgrp_d74fedd1fa;Черный
KD-PD-8765;cgrp_df6d4fc5b2;Коричневый
KD-PD-8777;cgrp_d74fedd1fa;Черный
KD-PD-8777;cgrp_df6d4fc5b2;Коричневый
KD-PD-8777;cgrp_7ca5cf6f56;Бежевый
KD-PD-9711;cgrp_d74fedd1fa;Черный
KD-PD-8776;cgrp_df6d4fc5b2;Коричневый
KD-PD-8758;cgrp_d74fedd1fa;Черный
KD-PD-8758;cgrp_df6d4fc5b2;Коричневый
KD-PD-8967;cgrp_2818a16c64;Белый
KD-PD-8977;cgrp_2818a16c64;Белый
KD-PD-7227;cgrp_2818a16c64;Белый
KD-PD-9976;cgrp_2818a16c64;Белый
KD-PD-8242;cgrp_812476ce58;Серебряный
KD-PD-8243;cgrp_812476ce58;Серебряный
KD-PD-11419;cgrp_2818a16c64;Белый
KD-PD-11431;cgrp_2818a16c64;Белый
KD-PD-11429;cgrp_2818a16c64;Белый
KD-PD-11421;cgrp_2818a16c64;Белый
KD-PD-11418;cgrp_2818a16c64;Белый
KD-PD-11436;cgrp_2818a16c64;Белый
KD-PD-11518;cgrp_2818a16c64;Белый
KD-PD-11441;cgrp_2818a16c64;Белый
KD-PD-11449;cgrp_2818a16c64;Белый
KD-PD-11440;cgrp_2818a16c64;Белый
KD-PD-9415;cgrp_2818a16c64;Белый
KD-PD-9418;cgrp_2818a16c64;Белый
KD-PD-8984;cgrp_2818a16c64;Белый
KD-PD-9975;cgrp_2818a16c64;Белый
KD-PD-9416;cgrp_2818a16c64;Белый
KD-PD-9417;cgrp_2818a16c64;Белый
KD-PD-10913;cgrp_2818a16c64;Белый
KD-PD-10911;cgrp_2818a16c64;Белый
KD-PD-10925;cgrp_2818a16c64;Белый
KD-PD-11141;cgrp_2372492028;Зеленый
KD-PD-10928;cgrp_2818a16c64;Белый
KD-PD-10917;cgrp_2818a16c64;Белый
KD-PD-10915;cgrp_2818a16c64;Белый
KD-PD-10924;cgrp_2818a16c64;Белый
KD-PD-10927;cgrp_2818a16c64;Белый
KD-PD-10926;cgrp_2818a16c64;Белый
KD-PD-10918;cgrp_2818a16c64;Белый
KD-PD-10919;cgrp_2818a16c64;Белый
KD-PD-10920;cgrp_2818a16c64;Белый
KD-PD-10921;cgrp_2818a16c64;Белый
KD-PD-10922;cgrp_2818a16c64;Белый
KD-PD-10923;cgrp_2818a16c64;Белый
KD-PD-10944;cgrp_2818a16c64;Белый
KD-PD-10944;cgrp_a39ee8788e;Голубой
KD-PD-11006;cgrp_2818a16c64;Белый
KD-PD-11006;cgrp_b988d894d3;Золотой
KD-PD-10945;cgrp_2818a16c64;Белый
KD-PD-10945;cgrp_a39ee8788e;Голубой
KD-PD-10590;cgrp_2818a16c64;Белый
KD-PD-10590;cgrp_b988d894d3;Золотой
KD-PD-10591;cgrp_2818a16c64;Белый
KD-PD-10591;cgrp_b988d894d3;Золотой
KD-PD-10950;cgrp_2818a16c64;Белый
KD-PD-10950;cgrp_a39ee8788e;Голубой
KD-PD-10459;cgrp_2818a16c64;Белый
KD-PD-10459;cgrp_b988d894d3;Золотой
KD-PD-10946;cgrp_2818a16c64;Белый
KD-PD-10946;cgrp_a39ee8788e;Голубой
KD-PD-10947;cgrp_2818a16c64;Белый
KD-PD-10947;cgrp_a39ee8788e;Голубой
KD-PD-10948;cgrp_2818a16c64;Белый
KD-PD-10948;cgrp_a39ee8788e;Голубой
KD-PD-10951;cgrp_2818a16c64;Белый
KD-PD-10951;cgrp_a39ee8788e;Голубой
KD-PD-10949;cgrp_2818a16c64;Белый
KD-PD-10949;cgrp_a39ee8788e;Голубой
KD-PD-10287;cgrp_df6d4fc5b2;Коричневый
KD-PD-10127;cgrp_df6d4fc5b2;Коричневый
KD-PD-10283;cgrp_df6d4fc5b2;Коричневый
KD-PD-10284;cgrp_df6d4fc5b2;Коричневый
KD-PD-10256;cgrp_2818a16c64;Белый
KD-PD-10256;cgrp_b988d894d3;Золотой
KD-PD-10254;cgrp_2818a16c64;Белый
KD-PD-10254;cgrp_b988d894d3;Золотой
KD-PD-2000;cgrp_a39ee8788e;Голубой
KD-PD-2000;cgrp_2818a16c64;Белый
KD-PD-2000;cgrp_398bc3d0f7;Синий
KD-PD-2003;cgrp_a39ee8788e;Голубой
KD-PD-2010;cgrp_2818a16c64;Белый
KD-PD-2010;cgrp_398bc3d0f7;Синий
KD-PD-2001;cgrp_398bc3d0f7;Синий
KD-PD-2001;cgrp_2818a16c64;Белый
KD-PD-2004;cgrp_2818a16c64;Белый
KD-PD-10376;cgrp_a39ee8788e;Голубой
KD-PD-10599;cgrp_a39ee8788e;Голубой
KD-PD-8695;cgrp_6e3a178629;Прозрачный
KD-PD-10375;cgrp_a39ee8788e;Голубой
KD-PD-10260;cgrp_2818a16c64;Белый
KD-PD-10260;cgrp_a39ee8788e;Голубой
KD-PD-10597;cgrp_2818a16c64;Белый
KD-PD-10597;cgrp_a39ee8788e;Голубой
KD-PD-10981;cgrp_2818a16c64;Белый
KD-PD-10981;cgrp_df6d4fc5b2;Коричневый
KD-PD-10259;cgrp_2818a16c64;Белый
KD-PD-10259;cgrp_a39ee8788e;Голубой
KD-PD-10258;cgrp_2818a16c64;Белый
KD-PD-10258;cgrp_a39ee8788e;Голубой
KD-PD-10244;cgrp_df6d4fc5b2;Коричневый
KD-PD-10239;cgrp_df6d4fc5b2;Коричневый
KD-PD-1;cgrp_2818a16c64;Белый
KD-PD-1022;cgrp_2818a16c64;Белый
KD-PD-1022;cgrp_a39ee8788e;Голубой
KD-PD-1022;cgrp_398bc3d0f7;Синий
KD-PD-1022;cgrp_417dc1f5c1;Пудровый
