Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Фото 1;Фото 2;Фото 3;Описание готового решения
KD-PD-2010;Салатник «Ледяные узоры»;Белый;null;24 см;9 990,00 ₽;null;null;null;null;24 см;null;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зимняя сказка;null;/images/imported-products/KD-PD-2010-WHITE01.png;null;null;null
KD-PD-2010;Салатник «Ледяные узоры»;Ночной синий;null;24 см;9 990,00 ₽;null;null;null;null;24 см;null;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Салатники, cупницы и глубокие тарелки;Зимняя сказка;null;/images/imported-products/KD-PD-2010-DARK01.png;null;null;null
KD-PD-2001;Тарелка «Ледяные узоры»;Белый;null;23 см;7 990,00 ₽;null;null;null;null;23 см;null;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Тарелки;Зимняя сказка;null;/images/imported-products/KD-PD-2001-WHITE01.png;null;null;null
KD-PD-2001;Тарелка «Ледяные узоры»;Ночной синий;null;23 см;7 990,00 ₽;null;null;null;null;23 см;null;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Тарелки;Зимняя сказка;null;/images/imported-products/KD-PD-2001-DARK01.png;null;null;null
KD-PD-2004;Чайная пара «Ледяные узоры»;Белый;null;250 мл;6 990,00 ₽;null;null;null;null;15 см;Кружка 1 шт\nБлюдце 1 шт;Фарфор;100% костяной фарфор;Рельефный орнамент;Ледяные узоры;Ледяные узоры;Посуда и сервировка;Кружки, чайные и кофейные пары;Зимняя сказка;null;/images/imported-products/KD-PD-2004-WHITE01.png;null;null;null
KD-PD-10376;Комплект постельного белья Нити;Голубой;null;Евро (200х220 см);32 900,00 ₽;null;200 см;220 см;null;null;null;сатин;100% сатин;null;Нити;Нити;Постельное белье;Постельное белье;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/69b3ce622cf37_big.jpg;null;null;null
KD-PD-10376;Комплект постельного белья Нити;Голубой;null;Кинг-сайз (220х240 см);43 900,00 ₽;null;220 см;240 см;null;null;null;сатин;100% сатин;null;Нити;Нити;Постельное белье;Постельное белье;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/69b3ce622cf37_big.jpg;null;null;null
KD-PD-10599;Подушка декоративная Нити;Голубой;null;45х45 см;5 490,00 ₽;null;45 см;45 см;null;null;null;null;null;null;Нити;Нити;Пледы и подушки;Декоративные подушки;Зимняя сказка Пламя морских глубин ;null;/images/imported-products/69e5d18433139_big.jpg;null;null;null
KD-PD-8695;Подсвечник Росы;Прозрачный;null;Единый размер;6 900,00 ₽;null;null;null;null;null;null;хрусталь;100% хрусталь;null;Росы;null;Декор для дома;Свечи и диффузоры;null;Зимняя сказка  Теплый брутализм,  Зеленый салон,  Красные линии Пламя морских глубин  ;/images/imported-products/6a47b3e9acf68_big.jpg;null;null;null
KD-PD-10375;Комплект постельного белья Тайна;Голубой;null;Евро (200х220 см);32 900,00 ₽;null;200 см;220 см;null;null;null;сатин;100% сатин;null;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка ;/images/imported-products/69b3ce485dc4b_big.jpg;null;null;null
KD-PD-10375;Комплект постельного белья Тайна;Голубой;null;Кинг-сайз (220х240 см);43 900,00 ₽;null;220 см;240 см;null;null;null;сатин;100% сатин;null;Тайна;Тайна;Постельное белье;Постельное белье;Пламя морских глубин ;Зимняя сказка ;/images/imported-products/69b3ce485dc4b_big.jpg;null;null;null
KD-PD-10260;Кружка Тайна;Белый / Голубой;null;450 мл;4 599,00 ₽;null;null;null;450 мл;null;null;костяной фарфор;100% костяной фарфор;null;Тайна;Тайна;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;null;/images/imported-products/68f65790028a8_big.jpg;null;null;null
KD-PD-10597;Подушка Тайна;Белый;null;40х40 см;3 599,00 ₽;null;40 см;40 см;null;null;null;бархат;null;null;Тайна;Тайна;Пледы и подушки;Декоративные подушки;Пламя морских глубин ;null;/images/imported-products/69e5d81fb0f8c_big.jpg;null;null;null
KD-PD-10597;Подушка Тайна;Голубой;null;40х60 см;4 599,00 ₽;null;40 см;60 см;null;null;null;бархат;null;null;Тайна;Тайна;Пледы и подушки;Декоративные подушки;Пламя морских глубин ;null;/images/imported-products/69f1d18162bd5_big.jpg;null;null;null
KD-PD-10981;Свеча Тайна;Белый;Древесный табак;11 см;6 599,00 ₽;null;11 см;null;null;null;null;null;Воск кокосовый;null;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;null;/images/imported-products/6978c59a6fa8e_big.jpg;null;null;null
KD-PD-10981;Свеча Тайна;Белый;Уд;11 см;6 599,00 ₽;null;11 см;null;null;null;null;null;Воск кокосовый;null;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;null;/images/imported-products/6978c59a6fa8e_big.jpg;null;null;null
KD-PD-10981;Свеча Тайна;Коричневый;Древесный табак;11 см;6 599,00 ₽;null;11 см;null;null;null;null;null;Воск кокосовый;null;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;null;/images/imported-products/6a5f809fd6922_big.jpg;null;null;null
KD-PD-10981;Свеча Тайна;Коричневый;Уд;11 см;6 599,00 ₽;null;11 см;null;null;null;null;null;Воск кокосовый;null;Тайна;Тайна;Декор для дома;Свечи и диффузоры;Пламя морских глубин ;null;/images/imported-products/6a5f809fd6922_big.jpg;null;null;null
KD-PD-10259;Тарелка десертная Тайна;Белый / Голубой;null;18 см;4 599,00 ₽;null;null;null;null;18 см;null;фарфор;100% фарфор;null;Тайна;Тайна;Посуда и сервировка;Тарелки;Пламя морских глубин ;null;/images/imported-products/6a85b7f0e879a_big.jpg;null;null;null
KD-PD-10258;Чайная пара Тайна;Белый / Голубой;null;250 мл;5 599,00 ₽;null;null;null;250 мл;16 см;Кружка 1 шт\nБлюдце 1 шт;костяной фарфор;100% костяной фарфор;null;Тайна;Тайна;Посуда и сервировка;Кружки, чайные и кофейные пары;Пламя морских глубин ;null;/images/imported-products/69007dfeb92de_big.jpg;null;null;null
KD-PD-10244;Блюдо овальное Юрма;Коричневый;null;23 см;2 392,00 ₽;2 990,00 ₽;null;null;null;23 см;null;керамика;100% керамика;null;Юрма;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;Зимняя сказка Пламя морских глубин ;/images/imported-products/6a85ae136bac7_big.jpg;null;null;null
KD-PD-10239;Тарелка закусочная Юрма;Коричневый;null;22 см;1 912,00 ₽;2 390,00 ₽;null;null;null;22 см;null;керамика;100% керамика;null;Юрма;null;Посуда и сервировка;Тарелки;Теплый брутализм;Зимняя сказка Пламя морских глубин  ;/images/imported-products/6a85ba9c0ea69_big.jpg;null;null;null
KD-PD-1;Свеча Корона;Белый;Ваниль;11 см;6 599,00 ₽;null;null;11 см;null;null;null;Стекло;Воск;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;/images/imported-products/IMG_9416.jpeg;null;null;null
KD-PD-1;Свеча Корона;Белый;Кокос;11 см;6 599,00 ₽;null;null;11 см;null;null;null;Стекло;Воск;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;/images/imported-products/IMG_9416.jpeg;null;null;null
KD-PD-1;Свеча Корона;Белый;Без аромата;11 см;6 599,00 ₽;null;null;11 см;null;null;null;Стекло;Воск;null;null;null;Декор для дома;Свечи и диффузоры;Зимняя сказка Пламя морских глубин ;Теплый брутализм;/images/imported-products/IMG_9416.jpeg;null;null;null
