Id,Артикул,Название товара,Цвет,Размер,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в скролле,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Аромат,Offer ID,URL товара,Тип товара,Источник
649,KD-PD-11189,Скатерть Венец: 185x240 см,белый,185x240 см,https://kultura-doma.ru/public/src/images/gallery/catalog/69a97ebdd00bb_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a97ebe7e590_big.jpg,null,185 см,240 см,null,null,null,лён,100% лен,null,null,null,1652-1768,https://kultura-doma.ru/product/skatert-venec-size-185x240-sm,tablecloth,master_catalog
650,KD-PD-10453,Скатерть Дворцы России,белый,180х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a45ff801850e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69bbe9ed5591f_big.jpg,null,180 см,180 см,null,null,null,сатин,100% сатин,null,null,null,1707,https://kultura-doma.ru/product/skatert-dvorcy-rossii,tablecloth,master_catalog
651,KD-PD-10454,Скатерть Дворцы России: 180х250 см,белый,180х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a45ff801850e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69bbe9ed5591f_big.jpg,null,180 см,250 см,null,null,null,сатин,100% сатин,null,null,null,1707-2134,https://kultura-doma.ru/product/skatert-dvorcy-rossii-size-180h250-sm,tablecloth,master_catalog
652,KD-PD-10455,Скатерть Дворцы России: 180х350 см,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a45ff801850e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69bbe9ed5591f_big.jpg,null,180 см,350 см,null,null,null,сатин,100% сатин,null,null,null,1707-2137,https://kultura-doma.ru/product/skatert-dvorcy-rossii-size-180h350-sm,tablecloth,master_catalog
653,KD-PD-11462,Скатерть Лебедушка,белый,180х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014c2d0272_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a98453c180f_big.jpg,null,180 см,180 см,null,null,null,сатин,100% сатин,null,null,null,1595,https://kultura-doma.ru/product/skatert-lebedushka,tablecloth,master_catalog
654,KD-PD-11463,Скатерть Лебедушка: 180х250 см,белый,180х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014c2d0272_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a98453c180f_big.jpg,null,180 см,250 см,null,null,null,сатин,100% сатин,null,null,null,1595-2125,https://kultura-doma.ru/product/skatert-lebedushka-size-180h250-sm,tablecloth,master_catalog
655,KD-PD-11464,Скатерть Лебедушка: 180х350 см,белый,180х350 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014c2d0272_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69a98453c180f_big.jpg,null,180 см,350 см,null,null,null,сатин,100% сатин,null,null,null,1595-2126,https://kultura-doma.ru/product/skatert-lebedushka-size-180h350-sm,tablecloth,master_catalog
656,KD-PD-7225,Скатерть Пионы,белый,180х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d8a36d2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d654554_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d888cb1_big.jpg,180 см,180 см,null,null,null,null,null,null,null,null,671,https://kultura-doma.ru/product/skatert-piony,tablecloth,master_catalog
657,KD-PD-9370,Скатерть Пионы,белый,180х180 см,https://kultura-doma.ru/public/src/images/gallery/catalog/68ac623812b3e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b0273b5a2db_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/68b068727f9d2_big.jpg,180 см,180 см,null,null,null,лён,100% лен,null,null,null,673,https://kultura-doma.ru/product/skatert-piony-673,tablecloth,master_catalog
658,KD-PD-7222,Скатерть Пионы: 180х250 см,белый,180х250 см,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d8a36d2_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d654554_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a3014d888cb1_big.jpg,180 см,250 см,null,null,null,null,null,null,null,null,671-708,https://kultura-doma.ru/product/skatert-piony-size-180h250-sm,tablecloth,master_catalog
