Id,Артикул,Название товара,Цвет,Аромат,Размер,Цена,Старая цена,Высота,Ширина,Объем,Диаметр,Комплектация / Информация о размере,Материал,Состав,Детали,Коллекция,Капсула,Категория,Подкатегория,Товар входит в готовое решение,Опционально входит в готовое решение,Описание готового решения,Превью фотография товара,Вторая фотография товара в скролле,Третья фотография в стролле,Offer ID
16,KD-PD-2519,Свеча Феникс,Белый / Золотой,Сандал и шалфей,10 см,4990,,10 см,,,,,,Воск,,Феникс,Феникс,Декор для дома,Свечи и диффузоры,Пламя морских глубин,Зимняя сказка,,/images/imported-products/images1.jpeg,/images/imported-products/images.jpeg,,
18,KD-PD-11417,Тарелка обеденная Овация,Белый,,30 см,1794,2990,,,,30 см,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/69cfd1dbd8788_big.jpg,,,1534
19,KD-PD-11415,Тарелка десертная Овация,Белый,,19 см,894,1490,,,,19 см,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/69a59fe31bc63_big.jpg,,,1532
20,KD-PD-11416,Тарелка закусочная Овация,Белый,,25 см,1314,2190,,,,25 см,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,Тарелки,Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/69a59ff7219ee_big.jpg,,,1533
21,KD-PD-11514,Чайная пара Овация,Белый,,350 мл,1194,1990,,,350 мл,18 см,Кружка 1 шт\nБлюдце 1 шт,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/6a85be4b7c47d_big.jpg,,,1540
22,KD-PD-11428,Чайник Овация,Белый,,990 мл,2394,3990,,,990 мл,,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/6a85bf69a9fab_big.jpg,,,1542
23,KD-PD-11430,Сахарница Овация,Белый,,240 мл,954,1590,,,240 мл,,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Чайники, молочники и сахарницы",Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/6a85b5ce5156c_big.jpg,,,1544
24,KD-PD-11420,Салатник Овация,Белый,,16 см,1794,2990,,,,16 см,,фарфор,100% костяной фарфор,,Овация,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Зеленый салон Пламя морских глубин,Красные линии,,/images/imported-products/6a85b4e761a4c_big.jpg,,,1538
25,KD-PD-11438,Чайник Эхо,Белый,,990 мл,5593,7990,,,990 мл,,,фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Чайники, молочники и сахарницы",Красные линии,Зеленый салон,,/images/imported-products/6a85bf6840c27_big.jpg,,,1567
25,KD-PD-11438,Чайник Эхо,Белый,,1800 мл,6593,9990,,,1800 мл,,,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Чайники, молочники и сахарницы",Красные линии,Зеленый салон,,/images/imported-products/6a85bf6840c27_big.jpg,,,1567
26,KD-PD-11438,Чайная пара Эхо,Белый,,250 мл,2233,3190,,,250 мл,18 см,Кружка 1 шт\nБлюдце 1 шт,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,Зеленый салон,,/images/imported-products/6a85bf55372ef_big.jpg,,,1556
27,KD-PD-114381,Тарелка глубокая Эхо,Белый,,350 мл,3353,4790,,,350 мл,,,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Красные линии,Зеленый салон,,/images/imported-products/6a85b7d65b6f3_big.jpg,,,1565
28,KD-PD-114382,Тарелка закусочная Эхо,Белый,,20 см,2233,3190,,,,20 см,,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон,,/images/imported-products/6a85bab0339ea_big.jpg,,,1563
29,KD-PD-114383,Тарелка обеденная Эхо,Белый,,25 см,2793,3990,,,,30 см,,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон,,/images/imported-products/6a06d76222d16_big.jpg,,,1564
30,KD-PD-114384,Тарелка десертная Эхо,Белый,,18 см,1673,2390,,,,18 см,,костяной фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,Тарелки,Красные линии,Зеленый салон,,/images/imported-products/6a85ba923b6ef_big.jpg,,,1562
31,KD-PD-114385,Супница Эхо,Белый,,650 мл,7273,10390,,,650 мл,,,фарфор,100% костяной фарфор,,Эхо,,Посуда и сервировка,"Салатники, cупницы и глубокие тарелки",Красные линии,Зеленый салон,,/images/imported-products/6a85b6e1b4b86_big.jpg,,,1558
32,KD-PD-10288,Ваза Айсберг,Белый,,15 см,14900,,,,,,,фарфор,100% фарфор,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка Пламя морских глубин,,,/images/imported-products/6a0d5b3b35c53_big.jpg,/images/imported-products/68ecbba698a58_big.jpg,,1256
32,KD-PD-10288,Ваза Айсберг,Белый,,18 см,16900,,,,,,,фарфор,100% фарфор,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка Пламя морских глубин,,,/images/imported-products/6a0d5b3b35c53_big.jpg,/images/imported-products/68ecbba698a58_big.jpg,,
33,KD-PD-11020,Ваза Паскаль,Синий,,36 см,24900,,,,,,,Стекло,100% стекло,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка Пламя морских глубин,,,/images/imported-products/6a0d5b3d445c5_big.jpg,,,
331,KD-PD-11020,Ваза Паскаль,Желтый,,36 см,24900,,,,,,,Стекло,100% стекло,,,,Декор для дома,Вазы и предметы интерьера,Зимняя сказка Пламя морских глубин,,,/images/imported-products/6a0d5b4123311_big.jpg,,,
36,KD-PD-10414,Дорожка Мокоши,Белый,,50х180 см,14900,,50 см,180 см,,,,лён,100% лен,Вышивка\nКисточки,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,,,/images/imported-products/6a84708e939ec_big.jpg,,,1369
37,KD-PD-10932,Кофейная пара Мокоши,Белый,,75 мл,2990,,,,75 мл,,Кружка 1 шт\nБлюдце 1 шт,фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,,,/images/imported-products/69441f32012f2_big.jpg,,,1328
38,KD-PD-10587,Плейсмат Мокоши,Белый,,40х50 см,1590,,40 см,50 см,,,,Хлопок,100% Хлопок,Вышивка,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,,,/images/imported-products/6a84709a367e8_big.jpg,,,1354
39,KD-PD-10567,Салфетка Мокоши,Белый,,45х45 см,1990,,45 см,45 см,,,,Хлопок,100% Хлопок,Вышивка,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,,,/images/imported-products/6a8470a8f0e87_big.jpg,,,1352
40,KD-PD-10450,Скатерть Мокоши,Белый,,180x180 см,19900,,180 см,180 см,,,,Хлопок,100% Хлопок,Вышивка,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,,,/images/imported-products/6a8471f1dc0ec_big.jpg,,,1368
40,KD-PD-10450,Скатерть Мокоши,Белый,,180x250 см,20900,,180 см,250 см,,,,Хлопок,100% Хлопок,Вышивка,Мокоши,,Столовый текстиль,Столовый текстиль,Красные линии,,,/images/imported-products/6a8471f1dc0ec_big.jpg,,,1368
41,KD-PD-10400,Тарелка десертная Мокоши,Красный,,19 см,2990,,,,,19 см,,Фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,Тарелки,Красные линии,,,/images/imported-products/694150e829683_big.jpg,,,1329
42,KD-PD-10930,Чайная пара Мокоши,Красный,,250 мл,4590,,,,250 мл,19 см,Кружка 1 шт\nБлюдце 1 шт,Фарфор,100% фарфор,,Мокоши,,Посуда и сервировка,"Кружки, чайные и кофейные пары",Красные линии,,,/images/imported-products/694151510f837_big.jpg,,,1330
43,KD-PD-8985,Скатерть Весна,Белый,,180x250 см,9900,,180 см,250 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон,,/images/imported-products/6a5756073f700_big.jpg,/images/imported-products/68b040117f548_big.jpg,,593
43,KD-PD-8985,Скатерть Весна,белый,,180x350 см,9900,,180 см,350 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,Зеленый салон,,,/images/imported-products/6a5756073f700_big.jpg,,/images/imported-products/68b040117f548_big.jpg,593
44,KD-PD-8982,Плейсмат Весна,Зеленый,,45х45 см,990,,45 см,65 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон,,/images/imported-products/6a84702c37bb4_big.jpg,,,562
44,KD-PD-8982,Плейсмат Весна,Зеленый,,45х65 см,990,,45 см,65 см,,,,Хлопок,100% Хлопок,,Весна,,Столовый текстиль,Столовый текстиль,,Зеленый салон,,/images/imported-products/6a84702c37bb4_big.jpg,,,561
