offer_id,group_id,vendor_code,collection,product_name,product_url,product_type,constructor_role,mix_role,builder_domain,palette,style_tags,price,old_price,color,size,material,volume,availability_status,primary_image_url,all_image_urls
440-2048,440,УТ-00008742,,Подушка декоративная Бархат: 18х55 см,https://kultura-doma.ru/product/podushka-dekorativnaya-barhat-440-size-18h55-sm,decorative_pillow,bedroom_layer,,,,,5390,,,18х55 см,,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6892054eb809e_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6892054eb809e_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/686fc0bfd64b7_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69e2341038203_big.jpg
697,697,УТ-00009682,,Ваза Тюльпан,https://kultura-doma.ru/product/vaza-tyul-pan-697,vase,atmosphere_or_drinks,,,,,8094,13490,синий,20 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8f54743_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8eec698_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a9021e49_big.jpg
697-743,697,УТ-00009683,,Ваза Тюльпан: 28 см,https://kultura-doma.ru/product/vaza-tyul-pan-697-size-28-sm,vase,atmosphere_or_drinks,,,,,11994,13490,синий,28 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8f54743_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8eec698_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a9021e49_big.jpg
697-744,697,УТ-00009684,,Ваза Тюльпан: 35 см,https://kultura-doma.ru/product/vaza-tyul-pan-697-size-35-sm,vase,atmosphere_or_drinks,,,,,17394,13490,синий,35 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/686bd976bb7f0_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8f54743_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a8eec698_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a9021e49_big.jpg
1159,1159,УТ-00008735,,Подушка декоративная Бархат,https://kultura-doma.ru/product/podushka-dekorativnaya-barhat-1159,decorative_pillow,bedroom_layer,,,,,5390,,голубой,25х50 см,,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/69e2342578461_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/69e2342578461_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/69e234252cd2e_big.jpg
696,696,УТ-00009552,,Ваза Тюльпан,https://kultura-doma.ru/product/vaza-tyul-pan-696,vase,atmosphere_or_drinks,,,,,11994,19990,зеленый,28 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47aaffe85c3_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47aaffe85c3_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a47ab002eed5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a47ab006e788_big.jpg
696-741,696,УТ-00009558,,Ваза Тюльпан: 35 см,https://kultura-doma.ru/product/vaza-tyul-pan-696-size-35-sm,vase,atmosphere_or_drinks,,,,,17394,19990,зеленый,35 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47aaffe85c3_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a47aaffe85c3_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a47ab002eed5_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a47ab006e788_big.jpg
698,698,УТ-00009553,,Ваза Бархан,https://kultura-doma.ru/product/vaza-barhan,vase,atmosphere_or_drinks,,,,,7194,11990,бежевый,20 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f175ff_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f57ba6_big.jpg
698-746,698,УТ-00009556,,Ваза Бархан: 28 см,https://kultura-doma.ru/product/vaza-barhan-size-28-sm,vase,atmosphere_or_drinks,,,,,11994,11990,бежевый,28 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f175ff_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f57ba6_big.jpg
698-747,698,УТ-00009559,,Ваза Бархан: 35 см,https://kultura-doma.ru/product/vaza-barhan-size-35-sm,vase,atmosphere_or_drinks,,,,,16014,11990,бежевый,35 см,керамика,,unknown_from_feed,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg,https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6ed15ca_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f175ff_big.jpg|https://kultura-doma.ru/public/src/images/gallery/catalog/6a0d5a6f57ba6_big.jpg
