variant_id;product_id;characteristic_code;value;normalized_value;numeric_value
KD-PD-1026__v002;KD-PD-1026;composition;70% хлопок\n30% лен;70%×лопок\n30% лен;
KD-PD-1026__v002;KD-PD-1026;details;Кружево;кружево;
KD-PD-1026__v002;KD-PD-1026;color;Белый;белый;
KD-PD-1026__v003;KD-PD-1026;category;Пледы и подушки;пледы и подушки;
KD-PD-1026__v003;KD-PD-1026;subcategory;Плед;плед;
KD-PD-1026__v003;KD-PD-1026;capsule;Лунная сказка;лунная сказка;
KD-PD-1026__v003;KD-PD-1026;material;Хлопок;×лопок;
KD-PD-1026__v003;KD-PD-1026;size;200×220 см;200×220 см;
KD-PD-1026__v003;KD-PD-1026;price;12990;12990;12990
KD-PD-1026__v003;KD-PD-1026;height;200 см;200 см;
KD-PD-1026__v003;KD-PD-1026;width;220 см;220 см;
KD-PD-1026__v003;KD-PD-1026;composition;70% хлопок\n30% лен;70%×лопок\n30% лен;
KD-PD-1026__v003;KD-PD-1026;details;Кружево;кружево;
KD-PD-1026__v003;KD-PD-1026;color;Молочный;молочный;
KD-PD-1027__v001;KD-PD-1027;category;Пледы и подушки;пледы и подушки;
KD-PD-1027__v001;KD-PD-1027;subcategory;Покрывало;покрывало;
KD-PD-1027__v001;KD-PD-1027;collection;Бархат;бар×ат;
KD-PD-1027__v001;KD-PD-1027;material;Микровелюр;микровелюр;
KD-PD-1027__v001;KD-PD-1027;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1027__v001;KD-PD-1027;price;8690;8690;8690
KD-PD-1027__v001;KD-PD-1027;height;200 см;200 см;
KD-PD-1027__v001;KD-PD-1027;width;220 см;220 см;
KD-PD-1027__v001;KD-PD-1027;composition;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;внешняя часть: 100% микровелюр\nнаполнитель: 100% полиэфирное волокно;
KD-PD-1027__v001;KD-PD-1027;color;Молочный;молочный;
KD-PD-1027__v002;KD-PD-1027;category;Пледы и подушки;пледы и подушки;
KD-PD-1027__v002;KD-PD-1027;subcategory;Покрывало;покрывало;
KD-PD-1027__v002;KD-PD-1027;collection;Бархат;бар×ат;
KD-PD-1027__v002;KD-PD-1027;material;Микровелюр;микровелюр;
KD-PD-1027__v002;KD-PD-1027;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1027__v002;KD-PD-1027;price;8690;8690;8690
KD-PD-1027__v002;KD-PD-1027;height;220 см;220 см;
KD-PD-1027__v002;KD-PD-1027;width;240 см;240 см;
KD-PD-1027__v002;KD-PD-1027;composition;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;внешняя часть: 100% микровелюр\nнаполнитель: 100% полиэфирное волокно;
KD-PD-1027__v002;KD-PD-1027;color;Молочный;молочный;
KD-PD-1027__v003;KD-PD-1027;category;Пледы и подушки;пледы и подушки;
KD-PD-1027__v003;KD-PD-1027;subcategory;Покрывало;покрывало;
KD-PD-1027__v003;KD-PD-1027;collection;Бархат;бар×ат;
KD-PD-1027__v003;KD-PD-1027;material;Микровелюр;микровелюр;
KD-PD-1027__v003;KD-PD-1027;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1027__v003;KD-PD-1027;price;8690;8690;8690
KD-PD-1027__v003;KD-PD-1027;height;200 см;200 см;
KD-PD-1027__v003;KD-PD-1027;width;220 см;220 см;
KD-PD-1027__v003;KD-PD-1027;composition;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;внешняя часть: 100% микровелюр\nнаполнитель: 100% полиэфирное волокно;
KD-PD-1027__v003;KD-PD-1027;color;Серо-синий;серо-синий;
KD-PD-1027__v004;KD-PD-1027;category;Пледы и подушки;пледы и подушки;
KD-PD-1027__v004;KD-PD-1027;subcategory;Покрывало;покрывало;
KD-PD-1027__v004;KD-PD-1027;collection;Бархат;бар×ат;
KD-PD-1027__v004;KD-PD-1027;material;Микровелюр;микровелюр;
KD-PD-1027__v004;KD-PD-1027;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1027__v004;KD-PD-1027;price;8690;8690;8690
KD-PD-1027__v004;KD-PD-1027;height;220 см;220 см;
KD-PD-1027__v004;KD-PD-1027;width;240 см;240 см;
KD-PD-1027__v004;KD-PD-1027;composition;Внешняя часть: 100% микровелюр\nНаполнитель: 100% полиэфирное волокно;внешняя часть: 100% микровелюр\nнаполнитель: 100% полиэфирное волокно;
KD-PD-1027__v004;KD-PD-1027;color;Серо-синий;серо-синий;
KD-PD-1030__v001;KD-PD-1030;category;Посуда и сервировка;посуда и сервировка;
KD-PD-1030__v001;KD-PD-1030;subcategory;Кружки, чайные и кофейные пары;кружки, чайные и кофейные пары;
KD-PD-1030__v001;KD-PD-1030;collection;Лунная сказка;лунная сказка;
KD-PD-1030__v001;KD-PD-1030;capsule;Лунная сказка;лунная сказка;
KD-PD-1030__v001;KD-PD-1030;material;Фарфор;фарфор;
KD-PD-1030__v001;KD-PD-1030;size;250 мл;250 мл;
KD-PD-1030__v001;KD-PD-1030;price;6990;6990;6990
KD-PD-1030__v001;KD-PD-1030;volume;250 мл;250 мл;
KD-PD-1030__v001;KD-PD-1030;diameter;15 см;15 см;
KD-PD-1030__v001;KD-PD-1030;composition;100% костяной фарфор;100% костяной фарфор;
KD-PD-1030__v001;KD-PD-1030;details;Рисунок;рисунок;
KD-PD-1030__v001;KD-PD-1030;color;Ночной синий;ночной синий;
KD-PD-1024__v001;KD-PD-1024;category;Постельное белье;постельное белье;
KD-PD-1024__v001;KD-PD-1024;subcategory;Постельное белье;постельное белье;
KD-PD-1024__v001;KD-PD-1024;collection;Лунная сказка;лунная сказка;
KD-PD-1024__v001;KD-PD-1024;capsule;Лунная сказка;лунная сказка;
KD-PD-1024__v001;KD-PD-1024;material;Шелк;шелк;
KD-PD-1024__v001;KD-PD-1024;size;Полуторный 140×220 см;полуторный 140×220 см;
KD-PD-1024__v001;KD-PD-1024;price;15990;15990;15990
KD-PD-1024__v001;KD-PD-1024;height;140 см;140 см;
KD-PD-1024__v001;KD-PD-1024;width;220 см;220 см;
KD-PD-1024__v001;KD-PD-1024;composition;100% Сатин;100% сатин;
KD-PD-1024__v001;KD-PD-1024;details;Вышивка;вышивка;
KD-PD-1024__v001;KD-PD-1024;color;Ночной синий;ночной синий;
KD-PD-1024__v002;KD-PD-1024;category;Постельное белье;постельное белье;
KD-PD-1024__v002;KD-PD-1024;subcategory;Постельное белье;постельное белье;
KD-PD-1024__v002;KD-PD-1024;collection;Лунная сказка;лунная сказка;
KD-PD-1024__v002;KD-PD-1024;capsule;Лунная сказка;лунная сказка;
KD-PD-1024__v002;KD-PD-1024;material;Шелк;шелк;
KD-PD-1024__v002;KD-PD-1024;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1024__v002;KD-PD-1024;price;18990;18990;18990
KD-PD-1024__v002;KD-PD-1024;height;200 см;200 см;
KD-PD-1024__v002;KD-PD-1024;width;220 см;220 см;
KD-PD-1024__v002;KD-PD-1024;composition;100% Сатин;100% сатин;
KD-PD-1024__v002;KD-PD-1024;details;Вышивка;вышивка;
KD-PD-1024__v002;KD-PD-1024;color;Ночной синий;ночной синий;
KD-PD-1024__v003;KD-PD-1024;category;Постельное белье;постельное белье;
KD-PD-1024__v003;KD-PD-1024;subcategory;Постельное белье;постельное белье;
KD-PD-1024__v003;KD-PD-1024;collection;Лунная сказка;лунная сказка;
KD-PD-1024__v003;KD-PD-1024;capsule;Лунная сказка;лунная сказка;
KD-PD-1024__v003;KD-PD-1024;material;Шелк;шелк;
KD-PD-1024__v003;KD-PD-1024;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1024__v003;KD-PD-1024;price;20990;20990;20990
KD-PD-1024__v003;KD-PD-1024;height;220 см;220 см;
KD-PD-1024__v003;KD-PD-1024;width;240 см;240 см;
KD-PD-1024__v003;KD-PD-1024;composition;100% Сатин;100% сатин;
KD-PD-1024__v003;KD-PD-1024;details;Вышивка;вышивка;
KD-PD-1024__v003;KD-PD-1024;color;Ночной синий;ночной синий;
KD-PD-1025__v001;KD-PD-1025;category;Посуда и сервировка;посуда и сервировка;
KD-PD-1025__v001;KD-PD-1025;subcategory;Тарелки;тарелки;
KD-PD-1025__v001;KD-PD-1025;collection;Лунная сказка;лунная сказка;
KD-PD-1025__v001;KD-PD-1025;capsule;Лунная сказка;лунная сказка;
KD-PD-1025__v001;KD-PD-1025;material;Фарфор;фарфор;
KD-PD-1025__v001;KD-PD-1025;size;23 см;23 см;
KD-PD-1025__v001;KD-PD-1025;price;5990;5990;5990
KD-PD-1025__v001;KD-PD-1025;diameter;23 см;23 см;
KD-PD-1025__v001;KD-PD-1025;composition;100% костяной фарфор;100% костяной фарфор;
KD-PD-1025__v001;KD-PD-1025;details;Рисунок;рисунок;
KD-PD-1025__v001;KD-PD-1025;color;Ночной синий;ночной синий;
KD-PD-1028__v001;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v001;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v001;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v001;KD-PD-1028;size;Полуторный 140×220 см;полуторный 140×220 см;
KD-PD-1028__v001;KD-PD-1028;price;4990;4990;4990
KD-PD-1028__v001;KD-PD-1028;height;140 см;140 см;
KD-PD-1028__v001;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v001;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v001;KD-PD-1028;color;Белый;белый;
KD-PD-1028__v002;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v002;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v002;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v002;KD-PD-1028;size;Евро 200×220 см;евро 200×220 см;
KD-PD-1028__v002;KD-PD-1028;price;5990;5990;5990
KD-PD-1028__v002;KD-PD-1028;height;200 см;200 см;
KD-PD-1028__v002;KD-PD-1028;width;220 см;220 см;
KD-PD-1028__v002;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v002;KD-PD-1028;color;Белый;белый;
KD-PD-1028__v003;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v003;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v003;KD-PD-1028;material;Шелк;шелк;
KD-PD-1028__v003;KD-PD-1028;size;Кинг сайз 220×240 см;кинг сайз 220×240 см;
KD-PD-1028__v003;KD-PD-1028;price;6990;6990;6990
KD-PD-1028__v003;KD-PD-1028;height;220 см;220 см;
KD-PD-1028__v003;KD-PD-1028;width;240 см;240 см;
KD-PD-1028__v003;KD-PD-1028;composition;100% Сатин;100% сатин;
KD-PD-1028__v003;KD-PD-1028;color;Белый;белый;
KD-PD-1028__v004;KD-PD-1028;category;Постельное белье;постельное белье;
KD-PD-1028__v004;KD-PD-1028;subcategory;Постельное белье;постельное белье;
KD-PD-1028__v004;KD-PD-1028;material;Шелк;шелк;
