ID;Артикул;Название товара;Цвет;Аромат;Размер;Цена;Старая цена;Высота;Ширина;Объем;Диаметр;Комплектация / информация о размере;Материал;Состав;Детали;Коллекция;Капсула;Категория;Подкатегория;Товар входит в готовое решение;Опционально входит в готовое решение;Капсула.1;Фото 1;Фото 2;Фото 3
723;KD-PD-8777;Плейсмат Текстура;коричневый;null;30 см;3 960 ₽;9 900 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Столовый текстиль;Плейсматы;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a4374f54239a_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374f4002a5_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374f616f88_big.jpg
723;KD-PD-8777;Плейсмат Текстура;черный;null;30 см;3 960 ₽;9 900 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Столовый текстиль;Плейсматы;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a4374f158e23_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374f0beb87_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374f1105ec_big.jpg
726;KD-PD-9711;Поднос Текстура;черный;null;Единый размер;11 800 ₽;29 500 ₽;null;null;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a58e99971c7c_big.jpg;null;null
727;KD-PD-8776;Подставка под бокал Текстура;коричневый;null;9 см;596 ₽;1 490 ₽;null;9 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Блюда и подача;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a4374ed2e7de_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374ec602a8_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374ece2ae6_big.jpg
728;KD-PD-8758;Салфетница Текстура;коричневый;null;12х12 см;5 040 ₽;12 600 ₽;12 см;12 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Салфетницы;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a4374bb5d537_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374bb235bf_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374bb9a097_big.jpg
728;KD-PD-8758;Салфетница Текстура;черный;null;12х12 см;5 040 ₽;12 600 ₽;12 см;12 см;null;null;null;натуральная кожа;null;null;Текстура;null;Посуда и сервировка;Салфетницы;Теплый брутализм;null;null;https://kssafonova.github.io/images/imported-products/6a4374b928bc8_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374b8dde46_big.jpg;https://kssafonova.github.io/images/imported-products/6a4374b96af6c_big.jpg
592;KD-PD-8967;Дорожка Многоцвет;белый;null;50х180 см;2 495 ₽;4 990 ₽;50 см;180 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/69f218cd67e4a_big.jpg;https://kssafonova.github.io/images/imported-products/68b028406ce99_big.jpg;null
592;KD-PD-8967;Дорожка Многоцвет;белый;null;60х350 см;3 495 ₽;6 990 ₽;60 см;350 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/69f218cd67e4a_big.jpg;https://kssafonova.github.io/images/imported-products/68b028406ce99_big.jpg;null
592;KD-PD-8967;Дорожка Многоцвет;белый;null;50х250 см;2 495 ₽;4 990 ₽;50 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/69f218cd67e4a_big.jpg;https://kssafonova.github.io/images/imported-products/68b028406ce99_big.jpg;null
593;KD-PD-8977;Конверт для столовых приборов Многоцветы;белый;null;12х23 см;345 ₽;690 ₽;12 см;23 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a46789a02f21_big.jpg;https://kssafonova.github.io/images/imported-products/68b5843370a11_big.jpg;null
597;KD-PD-7227;Скатерть Многоцвет;белый;null;180х180 см;4 495 ₽;8 990 ₽;180 см;180 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf162bb6_big.jpg
597;KD-PD-7227;Скатерть Многоцвет;белый;null;180х250 см;4 495 ₽;8 990 ₽;180 см;250 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf162bb6_big.jpg
597;KD-PD-7227;Скатерть Многоцвет;белый;null;180х350 см;4 495 ₽;8 990 ₽;180 см;350 см;null;null;null;Хлопок;100% Хлопок;null;Многоцвет;null;Столовый текстиль;Столовый текстиль;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/6a0abbf14fafb_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf175562_big.jpg;https://kssafonova.github.io/images/imported-products/6a0abbf162bb6_big.jpg
596;KD-PD-9976;Свеча Многоцветы;белый;null;25,5 см;792 ₽;990 ₽;25,5 см;null;null;null;null;соевый воск;null;null;Многоцвет;null;Декор для дома;Свечи и диффузоры;Зеленый салон;null;null;https://kssafonova.github.io/images/imported-products/69df5f57970e0_big.jpg;https://kssafonova.github.io/images/imported-products/69b95afad6980_big.jpg;null
445;KD-PD-8242;Набор столовых приборов Александр;серебряный;null;null;32 900 ₽;null;null;null;null;null;null;нержавеющая сталь 18/10;null;null;Столовые приборы;null;Посуда и сервировка;Столовые приборы;Зеленый салон, Красные линии;Теплый брутализм;null;https://kssafonova.github.io/images/imported-products/6a57511b9cbbf_big.jpg;null;null
215;KD-PD-8243;Набор столовых приборов Петр;Серебряный;null;Единый размер;20 900 ₽;null;null;null;null;null;null;Сталь;Нержавеющая сталь 18/10;null;Столовые приборы;null;Посуда и сервировка;Столовые приборы;Зеленый салон Красные линии;Теплый брутализм;null;https://kssafonova.github.io/images/imported-products/6a3d1d63d385c_big.jpg;null;null
