solution_id;solution_name;product_id;article;product_name;relation_type
sol_f6f75e490c;Пламя морских глубин;KD-PD-10258;KD-PD-10258;Чайная пара Тайна;required
sol_f6f75e490c;Пламя морских глубин;KD-PD-10244;KD-PD-10244;Блюдо овальное Юрма;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-10239;KD-PD-10239;Тарелка закусочная Юрма;optional
sol_f6f75e490c;Пламя морских глубин;KD-PD-1;KD-PD-1;Свеча Корона;required
sol_26270f94ad;Зеленый салон;KD-PD-11417;KD-PD-11417;Тарелка обеденная Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11415;KD-PD-11415;Тарелка десертная Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11416;KD-PD-11416;Тарелка закусочная Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11514;KD-PD-11514;Чайная пара Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11428;KD-PD-11428;Чайник Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11430;KD-PD-11430;Сахарница Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11420;KD-PD-11420;Салатник Овация;required
sol_26270f94ad;Зеленый салон;KD-PD-11438;KD-PD-11438;Чайник Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-114381;KD-PD-114381;Тарелка глубокая Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-114382;KD-PD-114382;Тарелка закусочная Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-114383;KD-PD-114383;Тарелка обеденная Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-114384;KD-PD-114384;Тарелка десертная Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-114385;KD-PD-114385;Супница Эхо;optional
sol_26270f94ad;Зеленый салон;KD-PD-8985;KD-PD-8985;Скатерть Весна;required
sol_26270f94ad;Зеленый салон;KD-PD-8982;KD-PD-8982;Плейсмат Весна;optional
sol_26270f94ad;Зеленый салон;KD-PD-7947;KD-PD-7947;Блюдо Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-8312;KD-PD-8312;Дорожка Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7941;KD-PD-7941;Кружка Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7942;KD-PD-7942;Салатник Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7242;KD-PD-7242;Салфетки Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7938;KD-PD-7938;Сахарница Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-8256;KD-PD-8256;Скатерть Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7939;KD-PD-7939;Сливочник Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7944;KD-PD-7944;Тарелка Петербург;required
sol_26270f94ad;Зеленый салон;KD-PD-7940;KD-PD-7940;Чайная пара Петербург;required
